time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,custom/max_height,time/fps,custom/current_screen,rollout/ep_len_mean,time/iterations,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/loss,train/entropy_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/n_updates
8023,24576,50.141458459999996,9778.0,3,28,83.2,12,3388.027303314209,0.0001,-0.0006937731712241657,0.002884805202484131,2080.973876953125,-0.07181000899290665,0.0013210897,0.2,0.008984375,55
8728,26624,41.21007362999999,9898.0,3,28,84.81,13,3477.9521347045898,0.0001,-0.002176423204946332,0.0033304691314697266,2106.227294921875,-0.0816074536414817,0.0011809825,0.2,0.00703125,60
9398,28672,49.147506459999995,9994.0,3,28,84.45,14,3258.641658782959,0.0001,-0.0019968266627984122,0.0014998912811279297,1657.435791015625,-0.08806940120412036,0.002717779,0.2,0.0265625,65
10062,30720,38.22658343999999,9794.0,3,28,84.99,15,3376.4484924316407,0.0001,-0.0016864552861079573,0.010701537132263184,1572.4932861328125,-0.09505878805939574,0.00093552074,0.2,0.00888671875,70
10727,32768,49.95533046999999,9930.0,3,28,84.34,16,3322.4698974609373,0.0001,-0.0014024252275703474,0.01029658317565918,2013.320556640625,-0.08934705184074118,0.0007231199,0.2,0.003515625,75
11409,34816,64.24550190999999,9994.0,3,28,84.62,17,3301.334398651123,0.0001,-0.0018704490437812637,0.01881343126296997,1193.483154296875,-0.10205181145574897,0.0012183557,0.2,0.0138671875,80
12076,36864,64.76480882999999,9994.0,3,28,84.55,18,3185.600704956055,0.0001,-0.0006898012099554763,0.01187199354171753,1728.5550537109375,-0.08297086581587791,0.0008293821,0.2,0.00654296875,85
12741,38912,89.96596062999998,9994.0,3,28,83.07,19,3207.3487770080565,0.0001,-0.0004856131796259433,0.029053151607513428,1598.3795166015625,-0.08361100805923342,0.0005607292,0.2,0.00390625,90
13430,40960,93.48308813,9930.0,3,28,84.5,20,3130.6765464782716,0.0001,-4.753204411827028e-05,0.031108558177947998,1125.6416015625,-0.08715596621623263,0.0006968219,0.2,0.0021484375,95
14087,43008,78.72461420999998,9994.0,3,28,83.38,21,3026.544886016846,0.0001,0.00026857296033995227,0.024747133255004883,794.2793579101562,-0.098524014884606,0.0008852243,0.2,0.0029296875,100
14741,45056,53.075253379999985,9794.0,3,28,84.04,22,3412.9815872192385,0.0001,-0.0009068514875252732,0.01320427656173706,1384.852783203125,-0.07328164250357076,0.0006941204,0.2,0.00498046875,105
15417,47104,29.463881259999997,9794.0,3,28,83.61,23,3321.835755157471,0.0001,-0.0002935500568128191,0.0027494430541992188,1582.525146484375,-0.07936861865455284,0.00064623414,0.2,0.00625,110
16095,49152,46.65190240999999,9794.0,3,28,84.12,24,3427.8892013549803,0.0001,-0.000903208029922098,0.020624220371246338,1987.9610595703125,-0.08783416368532926,0.0008616117,0.2,0.00634765625,115
16755,51200,61.68898464000001,9778.0,3,28,84.64,25,2648.676473236084,0.0001,-0.0011770772413001395,0.09714758396148682,768.555419921875,-0.09027703290339559,0.00062962587,0.2,0.0041015625,120
17431,53248,91.13242053999998,9994.0,3,28,84.41,26,2944.5318519592283,0.0001,-0.0017158324946649373,0.04653400182723999,2024.891357421875,-0.0777031188714318,0.0011158722,0.2,0.00849609375,125
18102,55296,102.93564945999998,9778.0,3,28,84.5,27,2507.5458591461183,0.0001,-0.00025543528026901187,0.0491294264793396,1347.44921875,-0.07760117566213012,0.0003760223,0.2,0.0015625,130
18802,57344,82.17544252999998,9794.0,3,28,84.2,28,3257.712895965576,0.0001,0.00057996186951641,0.00875169038772583,765.294921875,-0.0680582413682714,0.00062631036,0.2,0.0080078125,135
19484,59392,81.53322881999999,9898.0,3,28,83.75,29,2893.6522132873533,0.0001,-0.0018649104109499603,0.07871800661087036,1185.69970703125,-0.08130836029304192,0.0007686863,0.2,0.01279296875,140
20173,61440,73.71468899,9794.0,3,28,84.63,30,3056.7450424194335,0.0001,-0.000249235681258142,0.06206005811691284,921.2024536132812,-0.08532508322969079,0.0005715417,0.2,0.00576171875,145
20835,63488,80.56969075000002,9994.0,3,28,84.84,31,3173.2069732666014,0.0001,-0.0009260606486350298,0.03781735897064209,1337.53173828125,-0.07738030049949884,0.00078485813,0.2,0.008984375,150
21527,65536,84.98553591,9994.0,3,28,84.41,32,3042.2650787353514,0.0001,-0.0006346454028971493,0.050383806228637695,1277.246826171875,-0.06782031997572631,0.0013547968,0.2,0.009765625,155
22185,67584,96.12998655999999,9898.0,3,28,83.09,33,2809.980072402954,0.0001,-0.0003100278161582537,0.10005801916122437,976.8059692382812,-0.07083042655140162,0.0006260576,0.2,0.00390625,160
