time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,custom/max_height,time/iterations,custom/current_screen,train/clip_fraction,train/n_updates,train/approx_kl,train/clip_range,train/value_loss,train/learning_rate,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/loss
63488,320.84201019999995,2,24979,51.1,9074.0,31,26,0.0107421875,150,0.0004786347,0.2,61011.363012695314,0.0001,0.0006123185157775879,-0.06979099155869335,-0.0013130071252817287,28670.806640625
65536,297.39579778,2,25800,47.78,9074.0,32,26,0.0001953125,155,0.00025439766,0.2,47892.748547363284,0.0001,0.0010523796081542969,-0.07255712874466554,-0.000683203715016134,19378.361328125
67584,297.47453206999995,2,26557,46.71,9074.0,33,26,0.0080078125,160,0.0006825401,0.2,65508.06062011719,0.0001,0.0006291866302490234,-0.0732935346546583,-0.0003672192484373227,29641.052734375
69632,286.60517553,2,27336,51.88,9234.0,34,26,0.001953125,165,0.00020245055,0.2,52494.245703125,0.0001,0.001314401626586914,-0.06252013134071603,-0.0015408448409289122,23940.0078125
71680,365.25792797,2,28060,58.05,9074.0,35,26,0.017578125,170,0.0026365127,0.2,44775.941955566406,0.0001,0.0006157159805297852,-0.06822535664541647,-0.001033528326661326,27004.513671875
73728,399.47235594,2,28777,64.13,9074.0,36,26,0.0025390625,175,0.00031709851,0.2,43217.357153320314,0.0001,0.001640021800994873,-0.05586432705167681,-0.0009937200607964768,18940.953125
75776,478.76507441999996,2,29503,63.74,9074.0,37,26,0.00439453125,180,0.00069248193,0.2,39024.4935546875,0.0001,0.000938117504119873,-0.07383852375205606,0.00010253568179905415,20163.74609375
77824,456.3129600099999,2,30232,63.17,9074.0,38,26,0.00029296875,185,0.0002654989,0.2,43501.00300292969,0.0001,0.0007627606391906738,-0.06792349260067568,-0.0003778112935833633,25294.09375
79872,434.80657286999985,2,30970,60.64,9074.0,39,26,0.00166015625,190,0.00026582732,0.2,43449.52862548828,0.0001,0.0004088282585144043,-0.06807027731556445,-0.0001110601588152349,21807.01953125
81920,412.78276079000005,2,31700,61.63,9074.0,40,26,0.01240234375,195,0.0013277138,0.2,44887.34089355469,0.0001,0.0003566741943359375,-0.06623905444284901,-0.0018560211115982383,24101.37109375
83968,347.71627945999995,2,32471,56.84,9074.0,41,26,0.00185546875,200,0.00028071363,0.2,40881.997875976565,0.0001,0.0002586245536804199,-0.07027738888282328,6.13815340329893e-05,22368.611328125
86016,347.26304275999996,2,33193,59.28,9074.0,42,26,0.0029296875,205,0.0002112989,0.2,52287.56535644531,0.0001,0.00023049116134643555,-0.07274715329986066,-0.0019832336241961458,26627.751953125
88064,268.3752031700001,2,34001,56.9,9074.0,43,26,0.02041015625,210,0.0075716116,0.2,41615.580834960936,0.0001,0.0002092123031616211,-0.0726404124055989,-0.00159632696013432,27229.064453125
90112,195.74026688999996,2,34808,48.56,9074.0,44,26,0.02138671875,215,0.0016561849,0.2,52585.92415771484,0.0001,0.00012171268463134766,-0.08587563149631024,0.0028076004644390197,30594.791015625
92160,217.59020212,2,35601,45.78,9074.0,45,26,0.00283203125,220,0.00031095513,0.2,62290.364575195315,0.0001,0.0030295252799987793,-0.07449815114960075,-0.0020417500389157796,21432.34765625
94208,264.04187427,2,36363,49.82,9074.0,46,26,0.00048828125,225,0.00028335967,0.2,52864.67059326172,0.0001,0.05552142858505249,-0.07799352835863829,-0.0006391415750840679,30343.115234375
96256,277.05061222999996,2,37129,51.52,9074.0,47,26,0.00029296875,230,0.0002313476,0.2,49722.19647216797,0.0001,0.03607600927352905,-0.07771480191731825,-0.0008877784552169032,28190.69921875
98304,311.5784414,2,37891,56.13,9074.0,48,26,0.001953125,235,0.00014740563,0.2,48941.98923339844,0.0001,0.011436522006988525,-0.07534112813882529,-0.000609630366670899,22938.166015625
100352,266.67335809,2,38668,54.78,9074.0,49,26,0.0029296875,240,0.00029239996,0.2,38711.624987792966,0.0001,0.026600182056427002,-0.07466446263715625,-0.001904685643967241,17001.896484375
