rollout/ep_rew_mean,custom/max_height,custom/current_screen,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/loss,train/n_updates,train/clip_range,train/value_loss,train/entropy_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/learning_rate
-40.086622090000006,8714.0,25,32768,23592,1,22.77,16,0.0,29631.8125,245,0.2,65384.51694335938,-1.3242306657135487,0.00034402896,0.14158117771148682,-0.0009541889812680893,0.0001
-74.77159015000001,8714.0,25,34816,25087,1,21.78,17,0.003125,22225.134765625,250,0.2,53884.48193359375,-1.343318172544241,0.0031320825,0.1836484670639038,0.0002401482895947993,0.0001
-48.35951746999999,8714.0,25,36864,26631,1,19.72,18,0.0,25317.4453125,255,0.2,61304.459692382814,-1.3371135041117668,0.0003727024,0.13950902223587036,-0.0011067879240727052,0.0001
-116.79144569000002,8714.0,25,38912,28115,1,21.75,19,0.000390625,28933.349609375,260,0.2,68731.454296875,-1.3365303158760071,0.0007876818,0.1788836121559143,-0.0012750623995088973,0.0001
-186.6387864099999,8730.0,25,40960,29687,1,19.53,20,0.0,27547.150390625,265,0.2,56260.53016357422,-1.3371395453810693,0.00013106075,0.12783753871917725,-0.00039737073675496506,0.0001
-68.08222329,8714.0,25,43008,31235,1,19.85,21,0.0,24706.1953125,270,0.2,59627.62453613281,-1.3461502976715565,0.00015228597,0.15111643075942993,-0.00027205028454773127,0.0001
-112.65696232,8714.0,25,45056,32771,1,20.65,22,0.0,31122.244140625,275,0.2,67495.4465576172,-1.345834383368492,0.00089048187,0.1573607325553894,-0.0014960296626668423,0.0001
-115.47739187,8714.0,25,47104,34272,1,21.75,23,0.0001953125,28167.15234375,280,0.2,60444.96096191406,-1.3397574134171009,0.0005279558,0.13655030727386475,-0.001159298760467209,0.0001
-136.25062958,8714.0,25,49152,35795,1,21.09,24,0.0005859375,16500.791015625,285,0.2,52772.439953613284,-1.3389847539365292,0.000875482,0.15136176347732544,-0.0007724329596385359,0.0001
-51.66550629,8714.0,25,51200,37392,1,19.79,25,0.00048828125,23206.34375,290,0.2,50218.622314453125,-1.3320896752178668,0.0013027526,0.1657540202140808,-0.002655034439521842,0.0001
-93.19784136000003,8714.0,25,53248,38901,1,20.31,26,0.0,40376.55859375,295,0.2,68737.84345703125,-1.3402726612985134,0.0013105326,0.15974146127700806,6.467843195423484e-05,0.0001
-149.21169298000004,8714.0,25,55296,40454,1,20.04,27,0.0009765625,33689.98828125,300,0.2,60414.63857421875,-1.3369939804077149,0.0006856037,0.18546831607818604,-0.0018219499645056203,0.0001
-125.65472674,8714.0,25,57344,42049,1,17.81,28,0.000390625,28424.064453125,305,0.2,53104.457763671875,-1.3488900035619735,0.0015624311,0.1392245888710022,-0.0024546503700548783,0.0001
