rollout/ep_rew_mean,time/total_timesteps,custom/max_height,rollout/ep_len_mean,custom/current_screen,time/time_elapsed,time/fps,time/iterations,train/clip_range,train/clip_fraction,train/entropy_loss,train/approx_kl,train/learning_rate,train/loss,train/n_updates,train/explained_variance,train/value_loss,train/policy_gradient_loss
117.34823221,49152,10130.0,26.1,29,26884,1,24,0.2,0.023046875,-0.43252289202064276,0.002299449,0.0001,3929.9970703125,136,0.0009819865226745605,7373.345639038086,-0.0037722159235272557
92.57233268,51200,10130.0,25.23,29,28023,1,25,0.2,0.0267578125,-0.4578118620440364,0.004184359,0.0001,5400.1845703125,141,0.00033992528915405273,9050.657983398438,-0.0023808215046301484
80.69490381,53248,10130.0,23.17,29,29263,1,26,0.2,0.04521484375,-0.4557106545194983,0.0061234543,0.0001,4475.27978515625,146,0.00010591745376586914,9005.684420776368,0.0010760789533378556
124.33614827000001,55296,10130.0,23.61,29,30494,1,27,0.2,0.03525390625,-0.4708228887990117,0.004725598,0.0001,5095.537109375,151,0.0005220174789428711,10761.387979125977,-0.005195121408905834
118.81748705999999,57344,10130.0,22.92,29,31736,1,28,0.2,0.00537109375,-0.47338759545236825,0.0018612599,0.0001,4647.513671875,156,0.004065513610839844,8782.654541015625,0.000561597416526638
109.24902051,59392,10130.0,20.95,29,33062,1,29,0.2,0.0404296875,-0.4885107435286045,0.0039295843,0.0001,4174.49365234375,161,0.0011768341064453125,10087.315298461914,-0.0040044180932454765
141.79764584999998,61440,10130.0,24.29,29,34264,1,30,0.2,0.016015625,-0.48536255173385146,0.0020795118,0.0001,5074.076171875,166,0.0007638335227966309,10190.927658081055,-0.0002627952431794256
131.94379848,63488,10130.0,24.7,29,35502,1,31,0.2,0.02626953125,-0.47022444736212493,0.004040637,0.0001,4117.349609375,171,0.001271367073059082,7716.360131835938,0.0015565598208922894
123.08437828,65536,10130.0,23.0,29,36758,1,32,0.2,0.0421875,-0.47575432024896147,0.004724133,0.0001,3511.000732421875,176,0.0006158351898193359,8280.02000732422,-0.0020965423638699575
142.00835057,67584,10130.0,22.06,29,38062,1,33,0.2,0.05107421875,-0.4526820134371519,0.0027475678,0.0001,5435.13818359375,181,0.000548243522644043,9058.54183654785,-0.004071711146389134
