rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,custom/max_height,time/time_elapsed,custom/current_screen,time/iterations,train/explained_variance,train/clip_fraction,train/entropy_loss,train/value_loss,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/loss,train/approx_kl
-0.06,1,8.0,24064,-302.0,24004,0,47,-0.0011594295501708984,0.0484375,-3.104600802063942,0.18218485068173323,460,-0.02030631870002253,0.0003,0.2,-0.041857391595840454,0.008256814
0.0,1,8.0,24576,-158.0,24510,0,48,-81.39889526367188,0.0880859375,-3.1121766209602355,0.002091241282550982,470,-0.017989280220353975,0.0003,0.2,-0.04158085584640503,0.009806246
0.0,1,8.0,25088,-302.0,25021,0,49,-71.26100158691406,0.087890625,-3.103858709335327,0.00028259622731638954,480,-0.021843937784433366,0.0003,0.2,-0.04346863925457001,0.009671315
0.0,1,8.0,25600,-302.0,25519,0,50,-161.92164611816406,0.087890625,-3.074360191822052,9.7120344224777e-05,490,-0.023108317086007447,0.0003,0.2,-0.05414146929979324,0.010727306
0.0,1,8.0,26112,-302.0,26027,0,51,-64.58208465576172,0.08671875,-3.0517374217510223,1.753682296907755e-05,500,-0.02849446706240997,0.0003,0.2,-0.046486418694257736,0.011533918
0.0,1,8.0,26624,-302.0,26531,0,52,-66.53041076660156,0.0619140625,-3.041045090556145,5.775250895112549e-06,510,-0.02075039084884338,0.0003,0.2,-0.03376586735248566,0.0091179125
0.0,1,8.0,27136,-302.0,27038,0,53,-98.67474365234375,0.094140625,-3.029668387770653,6.197769664595398e-07,520,-0.024723429075675086,0.0003,0.2,-0.0572073720395565,0.009664224
-0.15,1,8.0,27648,-158.0,27542,0,54,-202.60264587402344,0.0537109375,-3.0155637562274933,3.919395418483518e-06,530,-0.029132940703857458,0.0003,0.2,-0.052902281284332275,0.009088593
-0.18,1,8.0,28160,-302.0,28048,0,55,-0.0001348257064819336,0.116015625,-3.016255095601082,0.7033842551487396,540,-0.016592439817031845,0.0003,0.2,0.8982004523277283,0.012109366
-0.06,1,8.0,28672,-302.0,28554,0,56,-0.011683106422424316,0.144921875,-3.023202124238014,0.0884010651439894,550,-0.027353664016118273,0.0003,0.2,-0.053468380123376846,0.01389399
-0.03,1,8.0,29184,-302.0,29060,0,57,-0.12949228286743164,0.1185546875,-2.9652028530836105,0.053137869800411866,560,-0.02785642580129206,0.0003,0.2,0.039290450513362885,0.011273965
