time/time_elapsed,time/iterations,custom/max_height,rollout/ep_len_mean,rollout/ep_rew_mean,custom/current_screen,time/fps,time/total_timesteps,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/learning_rate,train/entropy_loss,train/explained_variance,train/clip_range,train/value_loss,train/policy_gradient_loss
8907,61,442.0,11.34,154.89501148999997,2,0,7808,0.0029404191,9012.63671875,0.015625,300,0.0001,-0.6223000109195709,-0.013337135314941406,0.2,18081.821484375,-0.003496287576854229
9060,62,442.0,11.36,148.77175419000002,2,0,7936,0.0003414075,10031.2822265625,0.0,305,0.0001,-0.619214141368866,-0.0020599365234375,0.2,19144.8384765625,-0.004951532185077667
9217,63,626.0,11.28,141.80958435999997,2,0,8064,0.0006962847,8027.015625,0.0015625,310,0.0001,-0.6557377398014068,0.01843857765197754,0.2,15474.41923828125,-0.003972259350121021
9369,64,522.0,11.09,141.05210598999997,2,0,8192,0.0010353583,8173.04736328125,0.003125,315,0.0001,-0.5903055310249329,0.013040781021118164,0.2,17115.9740234375,-0.007071534171700478
9520,65,650.0,10.98,149.86257062999996,2,0,8320,0.00042920373,8068.9462890625,0.0,320,0.0001,-0.6104917407035828,0.025363147258758545,0.2,15327.94423828125,-0.0031832311302423476
9682,66,442.0,11.01,146.51496801999997,2,0,8448,0.00054878136,8382.6318359375,0.0015625,325,0.0001,-0.6301638126373291,0.0816006064414978,0.2,16625.92119140625,0.001456161867827177
9838,67,442.0,10.86,146.07101377999996,2,0,8576,0.0005452647,8014.2001953125,0.0046875,330,0.0001,-0.6583171188831329,0.06449472904205322,0.2,16097.1568359375,-0.0026624239049851894
9993,68,442.0,10.78,142.22363282999996,2,0,8704,0.0026919898,8010.59033203125,0.0078125,335,0.0001,-0.6383193731307983,-0.0012067556381225586,0.2,15761.7962890625,-0.006316536851227283
10151,69,626.0,11.19,153.74995635999997,2,0,8832,0.00044290163,8194.71484375,0.0015625,340,0.0001,-0.5731845974922181,0.021727144718170166,0.2,17197.84921875,-0.0044562587514519695
10304,70,442.0,11.11,156.55500426999998,2,0,8960,0.00052370224,8462.734375,0.0,345,0.0001,-0.6366015434265136,0.02821207046508789,0.2,15383.003125,-0.003555982280522585
10466,71,442.0,11.14,159.27584381,2,0,9088,0.00026104413,9432.66796875,0.0,350,0.0001,-0.6027657449245453,0.014406919479370117,0.2,19145.5623046875,-0.002885270258411765
10621,72,442.0,11.0,167.08680962,2,0,9216,9.746244e-05,8931.4248046875,0.0,355,0.0001,-0.6224691689014434,0.016599833965301514,0.2,18395.6861328125,-0.0003391124773770571
10765,73,538.0,10.57,159.84193659999997,2,0,9344,0.00036937837,9473.001953125,0.0,360,0.0001,-0.6083989381790161,0.0007858872413635254,0.2,19005.921484375,-0.0034139472991228104
10918,74,538.0,10.68,156.37066602999997,2,0,9472,0.0028198157,8771.7626953125,0.021875,365,0.0001,-0.5692197680473328,-0.0015804767608642578,0.2,16660.930859375,-0.007854097243398427
11080,75,650.0,10.59,160.12868202999996,2,0,9600,0.00091912877,8831.072265625,0.0015625,370,0.0001,-0.6071292877197265,0.021933376789093018,0.2,17340.4611328125,-0.00579531854018569
11234,76,442.0,10.56,163.61205865,2,0,9728,0.0014056517,7722.11328125,0.003125,375,0.0001,-0.621223098039627,0.0024871230125427246,0.2,16139.19736328125,-0.006302022188901901
11393,77,442.0,10.3,156.83625027,2,0,9856,0.00091493176,8103.53857421875,0.0015625,380,0.0001,-0.619435167312622,-0.009981274604797363,0.2,16672.72802734375,-0.0024928435683250426
11551,78,626.0,10.19,157.09602070999998,2,0,9984,0.0005275961,9190.935546875,0.0,385,0.0001,-0.5575244545936584,-0.0009821653366088867,0.2,18199.5822265625,-0.004390065558254719
11711,79,538.0,10.19,150.63266600999998,2,0,10112,0.0004243916,9071.0400390625,0.0,390,0.0001,-0.5682149589061737,-0.003865361213684082,0.2,18391.3228515625,-0.0018379854038357735
11868,80,442.0,10.33,150.01157869999997,2,0,10240,0.00016580336,7911.353515625,0.0,395,0.0001,-0.5866057634353637,0.0193173885345459,0.2,15916.801953125,-0.001657824032008648
12032,81,490.0,10.64,150.89928071999998,2,0,10368,8.23834e-05,8725.884765625,0.0,400,0.0001,-0.5724172770977021,0.017117023468017578,0.2,17030.29375,-0.0009841491468250752
12186,82,490.0,10.66,156.84407769999996,2,0,10496,0.0016125692,7145.51513671875,0.0046875,405,0.0001,-0.660286945104599,0.02393287420272827,0.2,13496.3501953125,-0.006725907698273659
12348,83,490.0,10.81,167.02866888,2,0,10624,0.0013781791,8505.689453125,0.0078125,410,0.0001,-0.5782312333583832,0.05497187376022339,0.2,17773.76953125,-0.0033830582164227963
12511,84,442.0,10.85,166.24319442999996,2,0,10752,0.00048293453,7033.791015625,0.0,415,0.0001,-0.62445570230484,0.06579887866973877,0.2,15540.06328125,-0.005197926983237266
12666,85,442.0,10.65,158.86610983999998,2,0,10880,0.0003146492,8653.1943359375,0.0,420,0.0001,-0.6075431346893311,-0.007105469703674316,0.2,17020.6033203125,-0.002605152316391468
12825,86,442.0,10.82,162.13948645999997,2,0,11008,0.00017504767,9239.19140625,0.0,425,0.0001,-0.5555648803710938,-0.004473209381103516,0.2,18140.0603515625,-0.0017445515375584364
