time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,custom/max_height,custom/current_screen,train/loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/clip_range,train/approx_kl,train/n_updates
34,1,64030,69632,62.99589624,19.34,786.0,3,4512.0107421875,0.01396484375,-1.4427770286798478,0.0001,-0.003289509902242571,11174.75551147461,0.00648653507232666,0.2,0.0023433487,384
35,1,66053,71680,76.26832524,20.36,1034.0,3,5556.89453125,0.013671875,-1.44055357798934,0.0001,-0.0042501390678808095,10938.706372070312,0.033976733684539795,0.2,0.003214375,389
36,1,68113,73728,53.10349671,15.12,890.0,3,5593.4267578125,0.03017578125,-1.4466962575912476,0.0001,-0.00590837633353658,10551.788088989259,0.024590373039245605,0.2,0.004065735,394
37,1,70158,75776,41.61935713,16.48,890.0,3,5865.6416015625,0.0154296875,-1.3931761525571347,0.0001,-0.0029792973888106643,13082.753796386718,0.023070871829986572,0.2,0.002277374,399
38,1,72198,77824,77.26049797,17.03,1034.0,3,6346.3251953125,0.00703125,-1.4074290871620179,0.0001,-0.002715442984481342,13401.972595214844,0.0017579197883605957,0.2,0.0011718244,404
39,1,74216,79872,27.96681401000001,18.43,890.0,3,5643.1728515625,0.0169921875,-1.3973453529179096,0.0001,-0.002595794608350843,12150.492803955078,0.0319100022315979,0.2,0.0024468973,409
40,1,76255,81920,53.000621869999996,21.54,890.0,3,5465.099609375,0.00849609375,-1.432903104275465,0.0001,-0.0008300437475554645,11332.789123535156,0.020592212677001953,0.2,0.0010362607,414
41,1,78336,83968,57.30224307,19.97,890.0,3,5378.8857421875,0.003125,-1.4525560431182385,0.0001,-0.003147066842939239,10245.9388092041,0.028147399425506592,0.2,0.0014751023,419
42,1,80401,86016,81.28860526,19.59,890.0,3,3944.4775390625,0.00478515625,-1.4276751048862935,0.0001,-0.0011055695067625493,11243.462506103515,-0.006178855895996094,0.2,0.0011571585,424
43,1,82476,88064,54.56293084,20.15,890.0,3,5084.5732421875,0.01259765625,-1.445405012369156,0.0001,-0.00043392047518864274,10455.361248779296,0.025965869426727295,0.2,0.0040865666,429
44,1,84622,90112,41.02279013999999,17.56,1034.0,3,6251.58837890625,0.0255859375,-1.440732967853546,0.0001,-0.006643272269866429,10844.056323242188,0.01473003625869751,0.2,0.0029355045,434
45,1,86681,92160,57.654877429999985,20.31,890.0,3,4754.9375,0.00419921875,-1.4383997216820716,0.0001,-0.0014128984621493146,11245.093768310548,0.022115230560302734,0.2,0.001016668,439
46,1,88717,94208,60.34025513,20.09,786.0,3,4913.9345703125,0.0060546875,-1.4413911618292332,0.0001,-0.001629254687577486,10677.852182006836,-0.0038814544677734375,0.2,0.0013734832,444
47,1,90811,96256,60.85586184000001,20.46,1034.0,3,5449.78271484375,0.00703125,-1.4473676927387715,0.0001,-0.002498681267024949,10329.622003173828,0.011661946773529053,0.2,0.0012804365,449
48,1,92861,98304,79.14616054000001,23.36,890.0,3,4957.00244140625,0.010546875,-1.4391981683671475,0.0001,-0.003603492118418217,9798.92286376953,0.015572547912597656,0.2,0.0017637736,454
49,1,94909,100352,58.97873061,19.34,1034.0,3,4140.16650390625,0.00556640625,-1.4251918010413647,0.0001,-0.00028073062130715696,9849.596267700195,0.019112706184387207,0.2,0.001083499,459
50,1,96997,102400,87.16261497,18.17,786.0,3,5396.71630859375,0.01484375,-1.407109060138464,0.0001,-0.0021200132148806007,11057.26039428711,0.017461836338043213,0.2,0.0025370563,464
51,1,99063,104448,50.87910774000001,15.59,1034.0,3,5985.052734375,0.00830078125,-1.3764112532138824,0.0001,-0.002141351922182366,11355.108441162109,0.027030467987060547,0.2,0.0017350954,469
52,1,101121,106496,110.56179595999998,20.45,1034.0,3,5924.88134765625,0.00712890625,-1.364275586605072,0.0001,-0.0015498152817599476,12454.229931640624,0.014451026916503906,0.2,0.0009409046,474
