custom/max_height,time/iterations,custom/current_screen,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/learning_rate,train/explained_variance,train/value_loss,train/clip_range,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,train/clip_fraction
-302.0,16,0,1,8.0,7948,-0.03,8192,150,0.0003,-69.34893035888672,8.166150396871075e-06,0.2,-3.0139442056417467,0.041160725,-0.2391371726989746,-0.04079676557448693,0.4626953125
-302.0,17,0,1,8.0,8464,0.0,8704,160,0.0003,-0.00036215782165527344,0.08265394785230455,0.2,-2.9514249116182327,0.03066077,-0.1687922328710556,-0.021179944986943155,0.40390625
-302.0,18,0,1,8.0,8989,-0.27,9216,170,0.0003,-33.114418029785156,0.0009724271444611077,0.2,-3.0195670992136003,0.052931413,-0.21556103229522705,-0.0612058924511075,0.4189453125
-158.0,19,0,1,8.0,9518,-0.09,9728,180,0.0003,-0.00041162967681884766,1.234044842980802,0.2,-2.9195376306772234,0.03316011,1.114708662033081,-0.021345933736301958,0.408984375
-302.0,20,0,1,8.0,10047,-0.09,10240,190,0.0003,-40.47139358520508,0.011540382561724983,0.2,-2.9798708975315096,0.0462865,-0.22849833965301514,-0.03897941694012843,0.4005859375
-302.0,21,0,1,8.0,10578,0.0,10752,200,0.0003,-0.0007162094116210938,0.5510564100317424,0.2,-2.9782280415296554,0.040052295,0.26136523485183716,-0.019758206466212867,0.3705078125
-302.0,22,0,1,8.0,11118,0.0,11264,210,0.0003,-5.884827613830566,0.003388390044528933,0.2,-3.0084020107984544,0.042908296,-0.1937277913093567,-0.05281531320651993,0.434765625
-302.0,23,0,1,8.0,11661,0.0,11776,220,0.0003,-3.02154541015625,4.9524451111437887e-05,0.2,-2.9604632526636125,0.029366627,-0.19428004324436188,-0.03393429488642141,0.3626953125
-302.0,24,0,1,8.0,12199,0.0,12288,230,0.0003,-86.73777770996094,2.2198787480220972e-05,0.2,-2.990493413805962,0.044053778,-0.17904995381832123,-0.03319686524337158,0.425
-302.0,25,0,1,8.0,12731,0.0,12800,240,0.0003,-62.88867950439453,7.3885561988618065e-06,0.2,-3.0639683187007902,0.03868409,-0.18948233127593994,-0.029618052818113937,0.4470703125
-302.0,26,0,1,8.0,13263,-0.03,13312,250,0.0003,-54.762977600097656,3.2739742975018693e-07,0.2,-3.1143300592899323,0.031772763,-0.20803014934062958,-0.03353194488445297,0.4072265625
-158.0,27,0,1,8.0,13793,0.0,13824,260,0.0003,2.7358531951904297e-05,0.07148927232723157,0.2,-3.1409355252981186,0.024608135,-0.19076749682426453,-0.022571071109268814,0.346484375
-158.0,28,0,1,8.0,14323,0.0,14336,270,0.0003,-5.031376361846924,0.0004458811338281521,0.2,-3.0893118411302565,0.05736626,-0.23565231263637543,-0.060668585379607974,0.40546875
-302.0,29,0,0,8.0,14855,0.0,14848,280,0.0003,-3.9719762802124023,6.582069183025396e-06,0.2,-3.05166355073452,0.030616662,-0.21792392432689667,-0.03864385071210563,0.3541015625
-302.0,30,0,0,8.0,15388,0.0,15360,290,0.0003,-14.587480545043945,2.7576711776333694e-07,0.2,-3.062457564473152,0.030783324,-0.17163364589214325,-0.04028531604562886,0.343359375
-302.0,31,0,0,8.0,15914,-0.03,15872,300,0.0003,-79.4981460571289,1.958278002117675e-08,0.2,-3.0981721550226213,0.02857393,-0.1797494739294052,-0.03193544923560694,0.3373046875
