custom/max_height,time/iterations,custom/current_screen,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/loss,train/value_loss,train/clip_range,train/policy_gradient_loss,train/n_updates,train/explained_variance
8714.0,40,25,2,-341.40039829999995,40960,17330,59.55,-1.1445933863520623,0.004419312,0.0001,0.0240234375,4286.82763671875,6342.252253723144,0.2,-0.004556011880049482,254,3.039836883544922e-06
8714.0,41,25,2,-349.4113982999999,41984,17786,56.79,-1.1737509101629258,0.008052486,0.0001,0.1599609375,3472.2685546875,9288.159497070312,0.2,-0.004565536955487915,259,0.009321033954620361
8714.0,42,25,2,-369.40444649,43008,18263,48.99,-1.1664808571338654,0.0016588438,0.0001,0.0,5482.24755859375,9838.236975097656,0.2,-0.0033747449080692602,264,-0.02335822582244873
8714.0,43,25,2,-363.6814464899999,44032,18650,53.09,-1.1292951837182046,0.003841381,0.0001,0.0005859375,4382.28857421875,11072.815454101563,0.2,-0.0064169219636823985,269,-1.9431114196777344e-05
8714.0,44,25,2,-362.26444648999995,45056,19092,54.51,-1.156438298523426,0.013550797,0.0001,0.111328125,2283.67822265625,3053.9699737548826,0.2,-0.00535664024646394,274,1.9073486328125e-05
8714.0,45,25,2,-377.383,46080,19541,53.3,-1.1800028905272484,0.0077365483,0.0001,0.0296875,2479.165771484375,5643.106045532227,0.2,-0.003936890594195575,279,-2.384185791015625e-07
8714.0,46,25,2,-372.3769999999999,47104,20014,54.91,-1.1635134920477868,0.006755065,0.0001,0.0408203125,4306.2021484375,8308.034539794922,0.2,-0.011194400273961947,284,-0.00010251998901367188
8714.0,47,25,2,-370.52899999999994,48128,20423,59.07,-1.1337246417999267,0.0048356014,0.0001,0.0216796875,4493.79296875,7315.376861572266,0.2,-0.008433947653975338,289,1.3113021850585938e-06
8730.0,48,25,2,-353.30199999999996,49152,20874,62.28,-1.1462493598461152,0.006827085,0.0001,0.0693359375,2880.319580078125,4794.932829284668,0.2,-0.00458133036736399,294,-0.001059412956237793
8714.0,49,25,2,-354.22976922999993,50176,21415,50.08,-1.1698132412774223,0.008009736,0.0001,0.12834821428571427,2781.974609375,4006.9723074776784,0.2,0.005644877574273518,295,-1.1086463928222656e-05
8714.0,50,25,2,-350.67076923,51200,21883,48.88,-1.2233545050024985,0.0092711765,0.0001,0.1041015625,7479.26513671875,17018.83983154297,0.2,-1.4733464922755957e-06,300,0.0024009346961975098
8714.0,51,25,2,-345.37176923,52224,22344,42.83,-1.1914339989423752,0.0063490607,0.0001,0.047265625,3545.086669921875,8807.21639404297,0.2,-0.008523383340798319,305,-0.00010669231414794922
8714.0,52,25,2,-352.30076923,53248,22806,43.32,-1.175262165921075,0.022316039,0.0001,0.19140625,5290.5224609375,6484.100490025112,0.2,-0.006835348238902432,307,5.364418029785156e-07
8834.0,53,25,2,-336.4490706,54272,23282,47.37,-1.1908646821975708,0.009417567,0.0001,0.0779296875,3098.95068359375,4955.626821899414,0.2,-0.005728087853640318,312,-9.5367431640625e-07
8714.0,54,25,2,-328.74414347999993,55296,23783,50.5,-1.1974877461791038,0.008164658,0.0001,0.0482421875,5079.482421875,10519.45412902832,0.2,-0.006419927830575034,317,0.000736236572265625
8834.0,55,25,2,-315.27047680999993,56320,24278,48.4,-1.1557445704936982,0.0050629447,0.0001,0.0056640625,4387.17333984375,9896.754559326171,0.2,-0.0032174532883800567,322,0.004625141620635986
8714.0,56,25,2,-299.16277092999997,57344,24852,44.03,-1.1923216864466668,0.0034120276,0.0001,0.0072265625,5829.99365234375,12463.091021728516,0.2,-0.004059628921095282,327,0.03543257713317871
8714.0,57,25,2,-304.71731165999995,58368,25390,38.81,-1.2129331588745118,0.004055399,0.0001,0.0013671875,12143.599609375,18728.750354003907,0.2,-0.004113577332464047,332,0.04211699962615967
8714.0,58,25,2,-244.40140357999994,59392,25924,35.04,-1.1873333975672722,0.019325111,0.0001,0.060546875,5579.84326171875,14339.36304321289,0.2,-0.006262980445171706,337,-0.0005180835723876953
8714.0,59,25,2,-232.88857081999996,60416,26458,32.77,-1.1511456698179245,0.00078747066,0.0001,0.0,9889.7451171875,32277.385803222656,0.2,-0.000923197844531387,342,0.03581446409225464
8714.0,60,25,2,-212.43914345999997,61440,27007,34.24,-1.1475686848163604,9.9073746e-05,0.0001,0.0,8199.6728515625,25697.37081298828,0.2,-0.0003636213717982173,347,0.03653055429458618
8714.0,61,25,2,-226.31626782999993,62464,27547,34.54,-1.1521749570965767,4.6464673e-05,0.0001,0.0,13800.537109375,24059.706457519533,0.2,-0.00030516686383634805,352,0.02989107370376587
8714.0,62,25,2,-245.31191887999995,63488,28064,34.47,-1.1563538789749146,9.3816605e-05,0.0001,0.0,9743.5322265625,22926.216577148436,0.2,-0.000619760510744527,357,0.06957924365997314
8714.0,63,25,2,-223.25760750999999,64512,28624,32.94,-1.1608524560928344,0.003159789,0.0001,0.0001953125,8692.5439453125,14985.022760009766,0.2,-0.002044802880845964,362,0.10124045610427856
8730.0,64,25,2,-200.38539626999994,65536,29179,32.15,-1.1678293585777282,4.60663e-05,0.0001,0.0,12229.201171875,31068.443688964842,0.2,1.341657480224967e-05,367,0.03979325294494629
8714.0,65,25,2,-209.25048690999995,66560,29743,30.41,-1.1744148969650268,2.4014444e-05,0.0001,0.0,10582.3876953125,28623.094287109376,0.2,-0.0002017602113483008,372,0.10065960884094238
8714.0,66,25,2,-175.56261455999996,67584,30247,33.72,-1.17822425365448,2.584292e-05,0.0001,0.0,9607.7412109375,24104.462292480468,0.2,-0.00017671922687441112,377,0.07134342193603516
8714.0,67,25,2,-186.77237410999996,68608,30827,34.43,-1.1726567640900611,0.0001011992,0.0001,0.0,19158.755859375,25226.39189453125,0.2,-0.00035446343827061355,382,0.1215202808380127
8714.0,68,25,2,-181.58182434,69632,31346,35.25,-1.18092437684536,4.349253e-05,0.0001,0.0,11973.583984375,27864.06154785156,0.2,-0.00042215063876938075,387,0.008426666259765625
8930.0,69,25,2,-142.18986582000002,70656,31836,37.82,-1.1717268839478492,1.4092831e-05,0.0001,0.0,16291.1298828125,25940.08035888672,0.2,-0.00023934929340612142,392,0.04168689250946045
8730.0,70,25,2,-176.10324773999997,71680,32400,36.34,-1.1714368894696237,5.9398008e-05,0.0001,0.0,19992.302734375,21561.880590820314,0.2,-0.00022040223411750047,397,0.05050218105316162
8714.0,71,25,2,-156.27139861,72704,32958,35.71,-1.17731065005064,0.00012844091,0.0001,0.0,13611.1826171875,30264.054638671874,0.2,-0.0006682049483060837,402,0.015768468379974365
8730.0,72,25,2,-162.87142696,73728,33538,31.46,-1.1888672560453415,3.039604e-06,0.0001,0.0,12572.2880859375,33091.83010253906,0.2,-3.6715483292937276e-05,407,0.07944804430007935
