time/iterations,custom/current_screen,time/time_elapsed,rollout/ep_len_mean,time/fps,custom/max_height,time/total_timesteps,rollout/ep_rew_mean,train/approx_kl,train/value_loss,train/learning_rate,train/clip_fraction,train/loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/n_updates
30,6,23024,16.53,1,1978.0,30720,203.92739731,0.010220781,8671.602972412109,0.0001,0.105078125,4405.1884765625,0.2,2.1636486053466797e-05,-0.009720995737006887,-0.6013774842023849,119
31,6,23787,16.08,1,1978.0,31744,175.14251525000003,0.007889352,8930.788415527344,0.0001,0.065625,4337.2783203125,0.2,1.537799835205078e-05,-0.005694363138172775,-0.6300563760101795,124
32,6,24551,16.4,1,1842.0,32768,195.86947339999995,0.011447197,9504.65703125,0.0001,0.03046875,6030.39208984375,0.2,1.3589859008789062e-05,-0.003218578826636076,-0.6612750500440597,126
33,6,25296,16.06,1,1946.0,33792,162.49617304,0.008939851,8306.586242675781,0.0001,0.0865234375,3808.234375,0.2,2.485513687133789e-05,-0.009315092250471935,-0.6161340273916721,131
34,6,26047,17.17,1,1978.0,34816,190.73595437,0.007955287,9652.124816894531,0.0001,0.0556640625,4113.369140625,0.2,1.0848045349121094e-05,-0.0024255848838947713,-0.6439047046005726,132
35,6,26807,16.95,1,1946.0,35840,197.34165063,0.008254768,7432.383843994141,0.0001,0.0921875,3389.391845703125,0.2,2.4080276489257812e-05,-0.005619288005982525,-0.6371249839663505,137
36,6,27589,16.51,1,1978.0,36864,210.63520454000005,0.00630093,7946.269866943359,0.0001,0.046484375,4436.15234375,0.2,1.3947486877441406e-05,-0.004785701987566426,-0.604202787578106,142
37,6,28352,16.95,1,2018.0,37888,207.77376978999996,0.008665222,7521.122418212891,0.0001,0.04296875,2918.086181640625,0.2,1.4126300811767578e-05,-0.004134027322288602,-0.6050762970000505,147
38,6,29121,16.69,1,1978.0,38912,182.14955073,0.014313907,7263.234809027777,0.0001,0.061342592592592594,3395.566650390625,0.2,2.0325183868408203e-05,-0.005460730581371872,-0.6071864057470251,149
39,6,29874,16.94,1,2018.0,39936,174.65643287,0.005900804,7833.552661132812,0.0001,0.043359375,3484.44677734375,0.2,1.1742115020751953e-05,-0.0053469309816136954,-0.6424752153456211,154
40,6,30630,16.8,1,1978.0,40960,174.79793306999997,0.018726641,7757.851584694602,0.0001,0.09375,4950.3935546875,0.2,8.225440979003906e-06,-0.007964776786552235,-0.7264595600691709,156
41,6,31393,15.56,1,1946.0,41984,171.17466252999998,0.02382432,7090.061821831598,0.0001,0.12239583333333333,3456.663818359375,0.2,1.609325408935547e-05,-0.00936541650271802,-0.6814811604994314,160
42,6,32155,16.76,1,1842.0,43008,193.81978506,0.01302202,8591.22765531994,0.0001,0.033482142857142856,4665.93505859375,0.2,8.64267349243164e-06,-0.0010062257005345253,-0.670966713201432,162
43,6,32920,16.27,1,1946.0,44032,195.62313780999997,0.013858791,6874.717130335366,0.0001,0.0586890243902439,3280.9736328125,0.2,1.0907649993896484e-05,-0.0038324231679392295,-0.6495256162271267,165
44,6,33695,16.38,1,1978.0,45056,199.66118341,0.013080228,7433.713577270508,0.0001,0.05615234375,3564.877197265625,0.2,1.1444091796875e-05,-0.0021082182065583766,-0.6156914290040731,167
45,6,34471,16.21,1,1978.0,46080,179.29501985999997,0.023277132,7170.100663034539,0.0001,0.049342105263157895,3163.332275390625,0.2,1.138448715209961e-05,-0.003989767969438904,-0.6450828251085783,169
46,6,35235,17.11,1,1882.0,47104,163.17361351,0.01530461,8695.387820221657,0.0001,0.04905523255813953,3992.058837890625,0.2,5.781650543212891e-06,-0.005478391445480114,-0.6489743396293285,172
