time/iterations,time/fps,custom/current_screen,rollout/ep_len_mean,custom/max_height,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_fraction,train/clip_range,train/learning_rate,train/explained_variance,train/loss,train/approx_kl
30,1,37,12.75,13202.0,317.3057426,13645,15360,-0.4694280594587326,-0.008397188386879861,51749.99501953125,140,0.0421875,0.2,0.0001,-1.728534698486328e-05,28706.150390625,0.009499296
31,1,37,13.27,13258.0,396.7626145700001,14057,15872,-0.47761009708046914,-0.010814836365170777,54730.46142578125,145,0.03984375,0.2,0.0001,3.6954879760742188e-06,29413.728515625,0.005770022
32,1,37,13.38,13026.0,380.03674221,14496,16384,-0.4750049367547035,-0.004181089962366968,58937.66015625,150,0.0078125,0.2,0.0001,-2.0265579223632812e-05,29710.927734375,0.003419557
33,1,37,13.45,13058.0,404.5673091,14927,16896,-0.48168403655290604,-0.00804236630210653,51234.028125,155,0.044921875,0.2,0.0001,3.081560134887695e-05,26431.21484375,0.0048546833
34,1,37,12.15,13058.0,370.0068912199999,15386,17408,-0.47459024041891096,-0.006178690760862082,54980.43056640625,160,0.02578125,0.2,0.0001,-1.1324882507324219e-05,29730.6953125,0.004704858
35,1,37,11.55,13258.0,330.42725056999996,15837,17920,-0.4752142898738384,-0.005796923814341426,60048.2263671875,165,0.016015625,0.2,0.0001,1.7940998077392578e-05,29741.072265625,0.002330476
36,1,37,12.44,13026.0,343.2842198999999,16272,18432,-0.4817950755357742,-0.012303568981587886,53006.31025390625,170,0.024609375,0.2,0.0001,1.0848045349121094e-05,25200.681640625,0.0050084093
37,1,37,12.43,13026.0,339.13695826000003,16719,18944,-0.48460224652901673,-0.013582320000307683,55725.24659455128,175,0.03766025641025641,0.2,0.0001,-1.7762184143066406e-05,27707.53125,0.0139783835
38,1,37,11.74,13058.0,317.25098933,17193,19456,-0.47662843614816663,-0.007849705987609923,55920.0876953125,180,0.021875,0.2,0.0001,-1.3470649719238281e-05,26926.25,0.003080946
39,1,37,10.94,13026.0,320.46996598,17654,19968,-0.49985247999429705,-0.005601031368132681,53850.86474609375,185,0.023046875,0.2,0.0001,7.075071334838867e-05,27890.21484375,0.0027897828
40,1,37,11.34,13202.0,319.53889469999996,18103,20480,-0.4763904891908169,-0.006659939046949148,61534.9986328125,190,0.009375,0.2,0.0001,-1.1682510375976562e-05,28644.107421875,0.0029623047
41,1,37,11.54,13202.0,283.72952704,18553,20992,-0.4912644274532795,-0.008337779017165304,61245.873828125,195,0.05234375,0.2,0.0001,-7.3909759521484375e-06,38561.62890625,0.0074866787
42,1,37,12.48,13282.0,299.6068426599999,18989,21504,-0.49227512776851656,-0.011698315222747623,51000.88232421875,200,0.075,0.2,0.0001,8.940696716308594e-06,28895.0,0.010173882
43,1,37,13.06,13258.0,358.93581363000004,19419,22016,-0.49519644007086755,-0.008918802486732602,45713.73515625,205,0.03046875,0.2,0.0001,-1.3470649719238281e-05,24402.43359375,0.004892077
