time/fps,custom/max_height,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,custom/current_screen,time/total_timesteps,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/explained_variance,train/clip_range,train/n_updates,train/approx_kl,train/loss
0,7994.0,20,5.36,252.47192633000003,24754,23,20480,0.0001,-0.5207344513386488,-0.004872394498670473,0.0091796875,30626.45163574219,3.2782554626464844e-06,0.2,95,0.0026845587,15333.408203125
0,7994.0,21,5.34,255.09369960999993,25923,23,21504,0.0001,-0.514762569963932,-0.0034124827041523533,0.0203125,30179.022802734376,2.6226043701171875e-06,0.2,100,0.001354084,14626.1748046875
0,8098.0,22,5.25,243.31318930999998,27081,23,22528,0.0001,-0.48713349290192126,-0.012615184346213937,0.0703125,29836.3810546875,2.8014183044433594e-06,0.2,105,0.003955193,16082.50390625
0,8098.0,23,5.21,224.33534705,28282,23,23552,0.0001,-0.4765876654535532,-0.005643322941614315,0.0189453125,29119.96042480469,2.2649765014648438e-06,0.2,110,0.001501006,14564.6767578125
0,7994.0,24,5.54,255.28632023000003,29425,23,24576,0.0001,-0.479406775534153,-0.009261960093863309,0.025,29338.398852539063,3.844499588012695e-05,0.2,115,0.0015533147,13999.2265625
0,8098.0,25,5.48,266.72976071,30575,23,25600,0.0001,-0.4491850581020117,-0.006398758327122778,0.0279296875,27518.06120605469,2.4437904357910156e-06,0.2,120,0.003299286,14590.333984375
0,8226.0,26,5.33,268.88577088,31748,23,26624,0.0001,-0.43669087067246437,-0.006548190287139733,0.0330078125,26870.05617675781,3.874301910400391e-06,0.2,125,0.0036607557,13646.4833984375
0,7994.0,27,5.39,270.817917,32924,23,27648,0.0001,-0.4220398012548685,-0.005039227916859091,0.010546875,26445.632568359375,0.00010377168655395508,0.2,130,0.0022271904,12515.9697265625
0,7994.0,28,5.21,257.98915461,34093,23,28672,0.0001,-0.40884315483272077,-0.0024777903396170585,0.027734375,26087.938818359376,2.086162567138672e-06,0.2,135,0.0023976332,12500.7255859375
0,8098.0,29,5.3,266.34957521,35264,23,29696,0.0001,-0.39306950755417347,-0.007663446277729235,0.0279296875,25249.41291503906,2.5033950805664062e-06,0.2,140,0.002709691,11808.2666015625
