time/fps,time/iterations,time/total_timesteps,time/time_elapsed,custom/max_height,custom/current_screen,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_range,train/learning_rate,train/clip_fraction,train/entropy_loss,train/n_updates,train/explained_variance,train/approx_kl
0,17,34816,48241,490.0,2,12.46,-39.061175320000004,-0.005236463557230309,4066.807585144043,2029.1353759765625,0.2,0.0001,0.00322265625,-1.9950812034308911,76,0.03006964921951294,0.0014417091
0,18,36864,50639,442.0,2,11.76,-29.514789029999992,-0.0037714832520578056,3853.940097808838,1634.7119140625,0.2,0.0001,0.0001953125,-1.9900378324091434,81,0.06520837545394897,0.0007671737
0,19,38912,53054,522.0,2,10.65,-37.59125746,-0.005397413129685447,3765.1846588134767,2730.962646484375,0.2,0.0001,0.00361328125,-1.9838705718517304,86,0.06866824626922607,0.0017686347
0,20,40960,55456,522.0,2,11.44,-42.13619337,-0.003675514567294158,4944.685130310058,2622.4599609375,0.2,0.0001,0.0009765625,-1.953342078626156,91,0.07921379804611206,0.0012502838
0,21,43008,57845,522.0,2,13.25,-28.659974910000003,-0.0040824733347108125,3010.8402984619142,1938.163818359375,0.2,0.0001,0.0021484375,-1.9598953068256377,96,0.11288213729858398,0.0013267163
0,22,45056,60220,522.0,2,13.05,-18.88271142,-0.0023832202452467753,3695.0395263671876,1569.2108154296875,0.2,0.0001,0.0,-1.9700964584946632,101,0.1221238374710083,0.0005501405
0,23,47104,62581,490.0,2,13.81,-22.88372345,-0.0025714915260323322,4842.146505737304,1831.280517578125,0.2,0.0001,0.00068359375,-1.9694909252226354,106,0.0806502103805542,0.0004817572
0,24,49152,64967,442.0,2,12.81,-32.37845319,-0.002141595557623077,3905.3151611328126,1042.5098876953125,0.2,0.0001,0.0,-1.9749338701367378,111,0.14486169815063477,0.0006822243
0,25,51200,67440,522.0,2,10.74,-30.435741030000003,-0.0036353071365738286,4354.625663757324,1646.81396484375,0.2,0.0001,0.00205078125,-1.960980635136366,116,0.12480741739273071,0.00079119165
0,26,53248,69856,442.0,2,10.31,-36.21308216,-0.0033454944845288993,4279.564050292969,2340.109375,0.2,0.0001,0.00107421875,-1.954958239197731,121,0.12706047296524048,0.00086102134
0,27,55296,72244,538.0,2,13.78,-24.739164739999996,-0.003006863656628411,4097.134132385254,2080.667236328125,0.2,0.0001,0.00595703125,-1.9446398600935937,126,0.1338346004486084,0.00090554415
0,28,57344,74617,522.0,2,12.61,-21.93338007,-0.003020459527033381,2815.266275024414,1351.5802001953125,0.2,0.0001,0.0033203125,-1.9645163588225842,131,0.21429961919784546,0.00092347537
0,29,59392,76945,490.0,2,14.06,-28.027699229999993,-0.0036144405210507104,3704.359538269043,1702.886962890625,0.2,0.0001,0.001953125,-1.9371376939117908,136,0.17446976900100708,0.00080993376
0,30,61440,79337,538.0,2,14.44,-26.624852879999995,-0.0037675006286008285,2766.5031242370605,1477.068359375,0.2,0.0001,0.000390625,-1.9571323230862618,141,0.2226170301437378,0.00082777004
0,31,63488,81706,490.0,2,15.52,0.27710922000000304,-0.0033644406386883928,2875.0226715087892,1501.30712890625,0.2,0.0001,0.00126953125,-1.954499150067568,146,0.2275351881980896,0.0008317343
