rollout/ep_rew_mean,custom/max_height,time/total_timesteps,time/iterations,custom/current_screen,time/time_elapsed,rollout/ep_len_mean,time/fps,train/loss,train/explained_variance,train/clip_range,train/n_updates,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/entropy_loss
241.60574602000008,-158.0,5888,23,0,7087,5.25,0,15084.6728515625,-0.0007997751235961914,0.2,110,0.00078125,30164.786328125,-0.008675192110240459,0.0024179686,0.0001,-0.43135111331939696
237.6043877200001,-158.0,6144,24,0,7441,5.46,0,13246.7294921875,0.0002155303955078125,0.2,115,0.0,26505.47724609375,-0.000866225827485323,0.0008100509,0.0001,-0.42077807784080506
246.33673695000013,-158.0,6400,25,0,7799,4.97,0,14118.5205078125,0.00014972686767578125,0.2,120,0.0,28525.23955078125,-0.0012651369906961918,0.00016863784,0.0001,-0.4189720287919044
249.8659920700001,-158.0,6656,26,0,8162,4.63,0,14825.5322265625,0.0021275877952575684,0.2,125,0.0,30222.5552734375,-0.00609477860853076,0.0009205532,0.0001,-0.3994144171476364
250.04615079000007,-14.0,6912,27,0,8527,4.64,0,14634.7939453125,0.003089427947998047,0.2,130,0.0,28453.03359375,-0.005221360246650875,0.00085469685,0.0001,-0.3913982853293419
245.5826474600001,-302.0,7168,28,0,8894,4.87,0,15062.7470703125,-0.0010116100311279297,0.2,135,0.0,30495.58916015625,-0.002942781988531351,0.00049951975,0.0001,-0.36853304207324983
245.6953458900001,-158.0,7424,29,0,9256,4.86,0,12664.9951171875,0.0011085867881774902,0.2,140,0.0,27253.9625,-0.001866607740521431,0.00034521823,0.0001,-0.36657427847385404
246.7910476400001,-158.0,7680,30,0,9619,4.72,0,15444.9931640625,-0.0005996227264404297,0.2,145,0.0,30215.24580078125,-0.0022190106334164738,0.00017302088,0.0001,-0.3513085886836052
236.25712512000007,-158.0,7936,31,0,9991,5.3,0,14332.3515625,0.0003878474235534668,0.2,150,0.0,28966.558984375,-0.0006807174999266863,9.690621e-05,0.0001,-0.33771734684705734
240.39702987000007,-158.0,8192,32,0,10341,5.17,0,12333.5048828125,0.00043326616287231445,0.2,155,0.0046875,24269.0115234375,-0.0035540347918868063,0.00093208114,0.0001,-0.35269944816827775
246.87199999000003,-158.0,8448,33,0,10708,4.68,0,14505.52734375,-0.0005289316177368164,0.2,160,0.0,29353.64970703125,-0.0037631419487297534,0.0010958284,0.0001,-0.3276078313589096
242.6932063500001,-14.0,8704,34,0,11069,4.78,0,14527.5048828125,0.00036394596099853516,0.2,165,0.0,28953.078125,-6.895428523421288e-05,0.00020635151,0.0001,-0.319546727836132
246.10687735000008,-158.0,8960,35,0,11435,4.75,0,13661.419921875,-0.00010800361633300781,0.2,170,0.0,27958.05419921875,-0.0010026783682405948,0.00018166145,0.0001,-0.31179970502853394
250.8206349400001,-302.0,9216,36,0,11797,4.6,0,14498.3095703125,0.001746058464050293,0.2,175,0.0,28526.7861328125,-0.0016311155632138252,0.00010738452,0.0001,-0.3041497334837914
251.38968255000012,-302.0,9472,37,0,12164,4.44,0,14455.3212890625,0.002544224262237549,0.2,180,0.0,28925.0296875,-0.002879813057370484,0.00022250158,0.0001,-0.301570226252079
251.92619049000007,-158.0,9728,38,0,12534,4.3,0,14599.5048828125,-0.0013003349304199219,0.2,185,0.0,29966.747265625,-0.0033074023202061655,0.00031602778,0.0001,-0.28444956988096237
247.98200002000013,-302.0,9984,39,0,12908,4.46,0,14261.7919921875,-0.0011484622955322266,0.2,190,0.0,29616.29921875,-0.0016095876693725587,0.00012387079,0.0001,-0.2778014838695526
247.71533337000008,-158.0,10240,40,0,13276,4.51,0,14423.37109375,0.0005627870559692383,0.2,195,0.0,28408.84052734375,-0.0010076604783535003,0.00011890475,0.0001,-0.2766563639044762
250.72841272000014,-158.0,10496,41,0,13646,4.39,0,14432.4677734375,-0.0010187625885009766,0.2,200,0.003125,29349.45439453125,-0.006078271474689245,0.000706712,0.0001,-0.26140260472893717
252.26904763000005,-158.0,10752,42,0,14009,4.26,0,14088.3037109375,0.0008884668350219727,0.2,205,0.0,27704.02548828125,-0.000984687148593366,0.00016769022,0.0001,-0.26895750388503076
251.81904763000014,-302.0,11008,43,0,14368,4.42,0,14612.4169921875,0.00013065338134765625,0.2,210,0.0015625,28602.946484375,-0.005275020061526447,0.0007410336,0.0001,-0.2565967634320259
251.6735897500001,-302.0,11264,44,0,14745,4.29,0,13481.1708984375,-0.00012087821960449219,0.2,215,0.02578125,28109.94306640625,-0.014792265323922037,0.0038461345,0.0001,-0.2441355064511299
250.8806893200001,-14.0,11520,45,0,15115,4.39,0,13857.7119140625,-0.0003991127014160156,0.2,220,0.003125,28001.4185546875,-0.0022544059436768295,0.0005672192,0.0001,-0.23305371031165123
250.9877344800001,-302.0,11776,46,0,15491,4.4,0,13699.263671875,-0.0003529787063598633,0.2,225,0.0,27539.64814453125,-0.001466612471267581,0.0002079925,0.0001,-0.2327030174434185
246.49862338000005,-302.0,12032,47,0,15872,4.55,0,13900.5322265625,-0.000244140625,0.2,230,0.0015625,27757.43046875,-0.0019570924574509262,0.0010681297,0.0001,-0.2241607129573822
243.62733335000013,-302.0,12288,48,0,16253,4.5,0,13445.6728515625,0.00010687112808227539,0.2,235,0.0,26899.36826171875,-0.0007835792377591134,9.7340206e-05,0.0001,-0.23871165066957473
243.45352382000013,-158.0,12544,49,0,16629,4.56,0,13555.369140625,0.00026476383209228516,0.2,240,0.0,28073.42431640625,-0.0011763326823711396,0.00012336392,0.0001,-0.21851399764418603
252.25000002000007,-158.0,12800,50,0,17006,4.23,0,13600.4111328125,-6.532669067382812e-05,0.2,245,0.0,27055.09755859375,-0.002059985836967826,0.00021542353,0.0001,-0.22095307633280753
252.50000001000012,-14.0,13056,51,0,17380,4.19,0,14220.44921875,-0.0008047819137573242,0.2,250,0.00390625,28062.75908203125,-0.004108045808970928,0.0006995236,0.0001,-0.21400317922234535
251.0221553900001,-158.0,13312,52,0,17750,4.41,0,14187.6962890625,-0.0005512237548828125,0.2,255,0.00078125,27938.43642578125,-0.0023819564608857035,0.00044627395,0.0001,-0.2112151250243187
252.0857142900001,-14.0,13568,53,0,18115,4.29,0,12638.3544921875,0.00011324882507324219,0.2,260,0.0,25289.425390625,-0.000844837399199605,0.00011422997,0.0001,-0.22440174594521523
251.0688235400001,-14.0,13824,54,0,18486,4.32,0,13110.8720703125,-0.0005023479461669922,0.2,265,0.0,27212.3462890625,-0.0007186287315562367,0.00013513118,0.0001,-0.20642924383282663
252.52619048000008,-158.0,14080,55,0,18852,4.19,0,12934.3134765625,-0.00015556812286376953,0.2,270,0.0,25649.70966796875,-0.00042600196320563555,2.5861664e-05,0.0001,-0.21372345387935637
252.09285715000013,-158.0,14336,56,0,19225,4.31,0,13157.86328125,1.1920928955078125e-06,0.2,275,0.003125,26395.744921875,-0.004900071793235839,0.00096418126,0.0001,-0.20551100969314576
251.2942460300001,-302.0,14592,57,0,19596,4.41,0,13368.8466796875,-0.0005224943161010742,0.2,280,0.0,27032.8041015625,0.0002365252235904336,2.3004832e-05,0.0001,-0.1943945176899433
252.09841270000013,-14.0,14848,58,0,19962,4.32,0,12511.0,0.0014466047286987305,0.2,285,0.0,24804.76884765625,-0.00243146326392889,0.00037832023,0.0001,-0.21253105327486993
252.0500000100001,-158.0,15104,59,0,20341,4.24,0,13323.875,-0.0004792213439941406,0.2,290,0.0078125,26495.13955078125,-0.004919481603428722,0.001243795,0.0001,-0.18552180454134942
247.5648571500001,-158.0,15360,60,0,20718,4.43,0,13428.52734375,-0.0006659030914306641,0.2,295,0.0,26425.2580078125,-0.001751284906640649,0.0005014108,0.0001,-0.19140057042241096
247.8648571500001,-158.0,15616,61,0,21090,4.39,0,12545.2939453125,0.00023937225341796875,0.2,300,0.003125,25594.6720703125,-0.0016561411321163177,0.0008756039,0.0001,-0.19329877719283103
252.2761904800001,-158.0,15872,62,0,21459,4.22,0,13156.1396484375,-0.00047206878662109375,0.2,305,0.0,26162.62529296875,-1.4700926840305328e-05,3.648037e-05,0.0001,-0.18090698793530463
252.2761904800001,-158.0,16128,63,0,21834,4.24,0,12882.583984375,-0.0004545450210571289,0.2,310,0.0,25715.098046875,-0.0021951311733573674,0.0005216156,0.0001,-0.18122199028730393
252.7000000100001,-158.0,16384,64,0,22209,4.15,0,12776.900390625,-0.0006525516510009766,0.2,315,0.0,25989.32333984375,-0.0007244507782161236,6.729993e-05,0.0001,-0.17623994946479798
250.3721212200001,-14.0,16640,65,0,22587,4.29,0,13173.32421875,-0.0004709959030151367,0.2,320,0.0,26187.93984375,-0.0010081518441438675,7.72113e-05,0.0001,-0.16881522610783578
248.5277347800001,-158.0,16896,66,0,22956,4.59,0,12111.755859375,4.4226646423339844e-05,0.2,325,0.0,23653.79248046875,-0.001070401561446488,0.00019318308,0.0001,-0.17819975912570954
