custom/max_height,time/total_timesteps,rollout/ep_len_mean,time/iterations,custom/current_screen,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/explained_variance,train/value_loss,train/clip_range,train/approx_kl,train/entropy_loss,train/clip_fraction,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/loss
12658.0,34816,5.83,17,36,-61.10776872,51816,0,0.20122677087783813,2548.91282043457,0.2,0.0034287185,-2.1536237433552743,0.00234375,0.0001,357,-0.004709712631301955,1323.8936767578125
12658.0,36864,7.0,18,36,-52.15675831999999,54607,0,0.18057793378829956,3105.652409362793,0.2,0.005915326,-2.160270628333092,0.01767578125,0.0001,362,-0.004999250278342515,989.9041748046875
12890.0,38912,6.76,19,36,-48.17424895000001,57525,0,0.19578051567077637,2852.936039733887,0.2,0.004064776,-2.162110096216202,0.02060546875,0.0001,367,-0.004940093366894871,1593.45849609375
12658.0,40960,5.95,20,36,-58.882011569999996,60460,0,0.20150017738342285,2831.055672454834,0.2,0.0066751596,-2.1785615772008895,0.05673828125,0.0001,372,-0.00563057710241992,1701.766845703125
12658.0,43008,7.08,21,36,-37.57137234,63372,0,0.19395697116851807,2517.7176971435547,0.2,0.0049258852,-2.169485466182232,0.0138671875,0.0001,377,-0.008982858847593889,895.611083984375
12658.0,45056,6.16,22,36,-58.06274507,66229,0,0.18058735132217407,3204.3243659973145,0.2,0.0027574159,-2.1675101280212403,0.00205078125,0.0001,382,-0.005285779348923825,1664.6846923828125
12714.0,47104,6.4,23,36,-57.745421189999995,69105,0,0.20065593719482422,2760.522449493408,0.2,0.0021942593,-2.163404978811741,0.003515625,0.0001,387,-0.0036030924791703002,1221.1942138671875
12714.0,49152,7.52,24,36,-44.826221489999995,71973,0,0.21410566568374634,2627.206076812744,0.2,0.0031522496,-2.1658766210079192,0.001953125,0.0001,392,-0.0019390959932934493,893.12353515625
12714.0,51200,5.78,25,36,-59.14346939999999,74856,0,0.16596925258636475,3313.771983337402,0.2,0.003435511,-2.1664743557572366,0.01318359375,0.0001,397,-0.005426095437724143,1644.8565673828125
12722.0,53248,6.45,26,36,-45.207894559999986,77929,0,0.15278160572052002,3242.00270690918,0.2,0.0045213494,-2.148837910592556,0.015234375,0.0001,402,-0.007778586706263013,1222.074462890625
12658.0,55296,6.78,27,36,-46.20300521999999,80824,0,0.2110709547996521,2660.8468482971193,0.2,0.002940462,-2.150538723170757,0.00380859375,0.0001,407,-0.0038148996769450604,1280.5093994140625
12658.0,57344,7.36,28,36,-45.57527071000001,83704,0,0.2367374300956726,2666.2405067443847,0.2,0.002218008,-2.147675597667694,9.765625e-05,0.0001,412,-0.0045854650932597,1124.55419921875
12714.0,59392,6.37,29,36,-54.79427229000001,86505,0,0.20475047826766968,3016.1794624328613,0.2,0.004510061,-2.1452391028404234,0.00947265625,0.0001,417,-0.0027064822294050827,1465.480712890625
12658.0,61440,7.16,30,36,-52.18917998999999,89188,0,0.2005319595336914,2927.9746910095214,0.2,0.0042482005,-2.1316232323646545,0.0298828125,0.0001,422,-0.008167560838046484,1360.8558349609375
12714.0,63488,7.23,31,36,-53.296320650000006,91965,0,0.18944859504699707,3305.5285461425783,0.2,0.003735952,-2.121517889201641,0.0142578125,0.0001,427,-0.003567779588047415,1918.61572265625
12658.0,65536,6.66,32,36,-60.527209369999994,94772,0,0.19898688793182373,2827.3009506225585,0.2,0.0034877835,-2.1239042401313784,0.01328125,0.0001,432,-0.005164401239017025,1441.1334228515625
