rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,custom/max_height,custom/current_screen,time/time_elapsed,train/policy_gradient_loss,train/learning_rate,train/loss,train/clip_fraction,train/explained_variance,train/value_loss,train/n_updates,train/approx_kl,train/clip_range,train/entropy_loss
322.55160726,11,10.0,11264,0,12722.0,36,16524,-0.011625874717719854,0.0001,36022.65625,0.0259765625,6.186962127685547e-05,74646.18974609375,50,0.0035113364,0.2,-0.7038862772285939
354.2285914800001,12,9.67,12288,0,12882.0,36,17754,-0.012580591265577822,0.0001,36438.6328125,0.046875,7.456541061401367e-05,73260.25395507812,55,0.007804909,0.2,-0.7011417798697949
359.0566055500001,13,10.0,13312,0,12882.0,36,19145,-0.015611575878574513,0.0001,37303.16796875,0.058984375,2.3484230041503906e-05,73394.25390625,60,0.008793949,0.2,-0.6884043164551258
387.41414549,14,9.98,14336,0,12715.52,36,20447,-0.02271417445736006,0.0001,35430.98828125,0.080859375,7.87973403930664e-05,71755.74692382812,65,0.01257717,0.2,-0.6601823069155216
378.02175452999995,15,9.34,15360,0,12882.0,36,21864,-0.013630851404741406,0.0001,37030.3671875,0.04375,5.823373794555664e-05,73516.87744140625,70,0.0076840403,0.2,-0.6456868626177311
372.09396883,16,9.58,16384,0,12882.0,36,23248,-0.012127987324493005,0.0001,37520.46875,0.040625,1.0371208190917969e-05,76012.87109375,75,0.006539235,0.2,-0.6342856638133526
463.4824084500001,17,10.29,17408,0,12714.0,36,24447,-0.01359767687972635,0.0001,33946.25,0.046484375,9.894371032714844e-06,74204.34736328125,80,0.0054039974,0.2,-0.6450845941901207
382.55100459,18,10.02,18432,0,12714.0,36,25681,-0.007977278641192243,0.0001,38109.9453125,0.0240234375,-3.0994415283203125e-05,75746.36328125,85,0.0042411434,0.2,-0.6408614695072175
377.29786831999996,19,10.11,19456,0,12882.0,36,26861,-0.009698446716201748,0.0001,35234.0859375,0.059175531914893616,6.079673767089844e-06,70667.84848736702,88,0.010606055,0.2,-0.660734696591154
441.49906648,20,10.79,20480,0,12658.0,36,28118,-0.00743044924755127,0.0001,33822.1875,0.02844551282051282,8.404254913330078e-06,68103.59635416667,91,0.009036584,0.2,-0.6428057673649911
431.53627429999995,21,10.0,21504,0,12882.0,36,29380,-0.01162887919927016,0.0001,32697.83984375,0.039453125,-1.0728836059570312e-05,71325.19711914062,96,0.004218748,0.2,-0.649541848897934
374.65558075,22,9.49,22528,0,12882.0,36,30811,-0.013867696409579366,0.0001,37303.8203125,0.0537109375,2.562999725341797e-06,70955.94985351563,101,0.007562765,0.2,-0.6300728186964989
487.23592048000006,23,10.71,23552,0,12890.0,36,31978,-0.016149542189668863,0.0001,36284.7109375,0.0787109375,2.384185791015625e-05,73661.44565429687,106,0.006787689,0.2,-0.6446161404252052
418.09733888999995,24,9.81,24576,0,12714.0,36,33159,-0.012682736196438782,0.0001,34001.69921875,0.046875,-1.1801719665527344e-05,70621.48100585937,111,0.007638654,0.2,-0.6149504818022251
445.94209152999997,25,10.18,25600,0,12658.0,36,34381,-0.010843132471200079,0.0001,33285.13671875,0.050390625,-9.775161743164062e-06,68553.65063476562,116,0.006403433,0.2,-0.6053962618112564
429.7807602100001,26,10.16,26624,0,12882.0,36,35610,-0.009170963783981278,0.0001,33888.0078125,0.044140625,1.1980533599853516e-05,70182.6107421875,121,0.007282817,0.2,-0.6206151455640793
404.10631785000004,27,9.68,27648,0,12722.0,36,36749,-0.006538643373642117,0.0001,36647.46875,0.0115234375,8.344650268554688e-06,69846.07939453125,126,0.0032057744,0.2,-0.6280607111752033
349.09944153,28,12.84,28672,0,12882.0,36,37857,-0.006217035714809488,0.0001,33696.70703125,0.028201219512195123,3.933906555175781e-06,67879.01476753049,129,0.011097367,0.2,-0.6271948625401753
386.94137399000005,29,10.11,29696,0,12722.0,36,39066,0.014579940028488636,0.0001,27854.466796875,0.046875,9.298324584960938e-06,54793.70390625,130,0.015439466,0.2,-0.6976035833358765
436.73756967,30,10.16,30720,0,12882.0,36,40175,-0.011270548740867525,0.0001,31674.19921875,0.0505859375,3.2186508178710938e-06,67204.67861328126,135,0.007740874,0.2,-0.618044676631689
427.20481551999995,31,10.64,31744,0,12890.0,36,41438,-0.014062766591086984,0.0001,33368.7890625,0.0529296875,-9.179115295410156e-06,65735.80600585937,140,0.006453221,0.2,-0.6040889233350754
