rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,custom/max_height,custom/current_screen,time/iterations,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_range,train/entropy_loss
-1.0149999999999997,12100,5.0,14848,1,-302.0,0,29,280,265.87261905670164,-0.022160470782546328,0.05703125,127.4519271850586,0.011407621,0.0003,0.2430281639099121,0.2,-2.175272360444069
-0.6519999999999997,12535,5.09,15360,1,-158.0,0,30,290,228.66889171600343,-0.018932190327905118,0.0609375,114.54293823242188,0.008407593,0.0003,0.2741314768791199,0.2,-2.161099079251289
-1.6334999999999997,12954,5.03,15872,1,-302.0,0,31,300,232.92285976409912,-0.018893671908881516,0.0474609375,67.39682006835938,0.0118390415,0.0003,0.04303407669067383,0.2,-2.1395583629608153
-0.7119999999999996,13379,4.96,16384,1,-158.0,0,32,310,295.53769874572754,-0.025146833900362254,0.0892578125,118.4592056274414,0.0127789695,0.0003,0.1176978349685669,0.2,-2.0667654022574427
-0.3524999999999996,13795,4.61,16896,1,-158.0,0,33,320,228.55969848632813,-0.026862111408263445,0.1541015625,114.61321258544922,0.016297732,0.0003,0.25733381509780884,0.2,-1.9807415142655374
-0.5944999999999999,14217,4.41,17408,1,-158.0,0,34,330,367.09815845489504,-0.024012170755304395,0.0962890625,137.6357879638672,0.010084137,0.0003,0.15187180042266846,0.2,-2.0197618126869203
-0.8199999999999998,14655,4.67,17920,1,-158.0,0,35,340,281.98110885620116,-0.021045680006500332,0.06328125,115.81874084472656,0.012469129,0.0003,0.24999749660491943,0.2,-1.9563003346323966
-0.7275,15076,4.58,18432,1,-302.0,0,36,350,302.8966136932373,-0.0195187269593589,0.0611328125,127.84345245361328,0.01282056,0.0003,0.24740320444107056,0.2,-1.912486371397972
-0.8974999999999997,15487,5.11,18944,1,-302.0,0,37,360,366.33883171081544,-0.01831695226719603,0.0763671875,142.19224548339844,0.008710226,0.0003,0.2286776900291443,0.2,-1.9636341318488122
-0.10699999999999985,15909,4.7,19456,1,-302.0,0,38,370,273.6994050979614,-0.021102817018982024,0.084765625,144.07559204101562,0.010383294,0.0003,0.26180410385131836,0.2,-1.9290205150842668
-0.4869999999999999,16332,4.8,19968,1,-302.0,0,39,380,339.2472791671753,-0.016053232830017805,0.0484375,171.44065856933594,0.008685191,0.0003,0.1898617148399353,0.2,-1.8828917905688285
-0.35250000000000015,16764,4.81,20480,1,-158.0,0,40,390,268.9840093612671,-0.022730314335785807,0.109375,134.6361083984375,0.010493716,0.0003,0.21508175134658813,0.2,-1.8392873898148536
0.08550000000000005,17170,4.59,20992,1,-158.0,0,41,400,343.6767530441284,-0.01888368632644415,0.068359375,230.4281005859375,0.013878143,0.0003,0.12991851568222046,0.2,-1.7921733915805818
-0.3294999999999992,17593,4.65,21504,1,-158.0,0,42,410,362.0596281051636,-0.02248849659226835,0.0841796875,163.43643188476562,0.01145103,0.0003,0.12271475791931152,0.2,-1.7931522086262703
-1.0854999999999995,18024,4.99,22016,1,-302.0,0,43,420,309.0715658187866,-0.01771874931291677,0.0654296875,127.70092010498047,0.009833313,0.0003,0.17822569608688354,0.2,-1.8526008620858192
0.4515000000000001,18459,4.76,22528,1,-158.0,0,44,430,235.4384979248047,-0.017308189964387564,0.071484375,99.5479507446289,0.009648768,0.0003,0.25195086002349854,0.2,-1.735395258665085
-0.6474999999999997,18898,4.76,23040,1,-302.0,0,45,440,324.87443218231203,-0.019512162340106443,0.0853515625,168.1256103515625,0.010887524,0.0003,0.11959606409072876,0.2,-1.791073477268219
-0.8855000000000001,19342,4.91,23552,1,-302.0,0,46,450,370.35215854644775,-0.01851990802679211,0.067578125,180.78236389160156,0.0064975214,0.0003,0.15627843141555786,0.2,-1.8135897293686867
0.37150000000000005,19764,4.69,24064,1,90.0,1,47,460,271.59233875274657,-0.016747142316307872,0.078125,139.07977294921875,0.009082345,0.0003,0.14081066846847534,0.2,-1.8733929350972176
-0.6149999999999998,20189,4.89,24576,1,-302.0,0,48,470,314.62001914978026,-0.013336949271615595,0.0388671875,158.22769165039062,0.007897152,0.0003,0.1374213695526123,0.2,-1.822731964290142
-0.0145000000000001,20600,4.76,25088,1,-158.0,0,49,480,312.5815423965454,-0.02021539117558859,0.1052734375,139.60910034179688,0.011769339,0.0003,0.20446550846099854,0.2,-1.8720864847302436
-0.6079999999999997,21012,4.55,25600,1,-158.0,0,50,490,359.41860847473146,-0.01579332404071465,0.074609375,213.83677673339844,0.0077587436,0.0003,0.09583842754364014,0.2,-1.7334611147642136
0.3035,21439,4.43,26112,1,-158.0,0,51,500,378.716813659668,-0.01932924669235945,0.0615234375,171.84120178222656,0.0074848454,0.0003,0.1879081130027771,0.2,-1.696403305232525
-0.6360000000000002,21847,4.44,26624,1,-302.0,0,52,510,369.26405372619627,-0.016655577113851905,0.0578125,166.74000549316406,0.0077533456,0.0003,0.2265452742576599,0.2,-1.7387639939785005
-0.44499999999999984,22259,4.74,27136,1,-302.0,0,53,520,452.4816951751709,-0.011946960905333981,0.023828125,236.74757385253906,0.0059242514,0.0003,0.18872839212417603,0.2,-1.6610445514321328
0.060999999999999874,22686,4.7,27648,1,-158.0,0,54,530,324.25875797271726,-0.02387686970178038,0.116015625,140.37535095214844,0.00875379,0.0003,0.1876842975616455,0.2,-1.6880924358963967
0.4205,23096,4.31,28160,1,-302.0,0,55,540,411.3208267211914,-0.022302728157956152,0.084375,169.99627685546875,0.012620718,0.0003,0.08105182647705078,0.2,-1.6822220802307128
0.0855000000000004,23507,4.4,28672,1,-158.0,0,56,550,421.7604476928711,-0.018223680974915623,0.0705078125,243.76295471191406,0.006785403,0.0003,0.16612941026687622,0.2,-1.5061752632260323
-0.04000000000000014,23920,4.5,29184,1,-302.0,0,57,560,414.8708522796631,-0.015468477446120232,0.0423828125,206.66107177734375,0.005295812,0.0003,0.18206262588500977,0.2,-1.499055689573288
-1.0155000000000003,24318,4.78,29696,1,-158.0,0,58,570,375.4474727630615,-0.022250083601102234,0.09453125,257.68426513671875,0.008423081,0.0003,0.17972427606582642,0.2,-1.5439823299646378
0.1655000000000004,24723,4.85,30208,1,-158.0,0,59,580,343.4918437957764,-0.019179925159551203,0.068359375,107.2698745727539,0.008675763,0.0003,0.1770097017288208,0.2,-1.4906458839774133
-0.4550000000000001,25131,4.66,30720,1,-302.0,0,60,590,326.18124828338625,-0.01755292891757563,0.0583984375,121.79817962646484,0.006373057,0.0003,0.1400355100631714,0.2,-1.434065653383732
0.20500000000000015,25516,4.55,31232,1,-158.0,0,61,600,358.2817470550537,-0.016673237906070427,0.0814453125,170.03253173828125,0.0079582,0.0003,0.20506423711776733,0.2,-1.4986708119511605
-0.8154999999999997,25921,4.72,31744,1,-302.0,0,62,610,377.04939365386963,-0.016213895485270767,0.0615234375,130.00022888183594,0.007137796,0.0003,0.22338777780532837,0.2,-1.3116237476468087
-0.18700000000000028,26339,4.63,32256,1,-14.0,0,63,620,314.16257801055906,-0.0194701258209534,0.0787109375,197.57850646972656,0.00833602,0.0003,0.25371527671813965,0.2,-1.3815578684210776
-0.7530000000000001,26747,4.53,32768,1,-302.0,0,64,630,365.9461233139038,-0.013602363306563347,0.06796875,187.7519989013672,0.0069554374,0.0003,0.1725296974182129,0.2,-1.38322321921587
-0.8829999999999997,27162,4.56,33280,1,-302.0,0,65,640,398.6074165344238,-0.01859518450219184,0.084375,188.26841735839844,0.007097341,0.0003,0.19426625967025757,0.2,-1.3627032935619354
0.1735000000000003,27580,4.42,33792,1,90.0,1,66,650,315.4085880279541,-0.013571657455759122,0.06328125,196.49891662597656,0.0075129042,0.0003,0.27336734533309937,0.2,-1.3899305805563926
-0.6905000000000006,27995,4.77,34304,1,-302.0,0,67,660,296.1585969924927,-0.020541426085401326,0.0787109375,123.89556121826172,0.007749454,0.0003,0.25086355209350586,0.2,-1.3899965271353723
-0.7529999999999998,28409,4.65,34816,1,-302.0,0,68,670,328.12487678527833,-0.02294523190939799,0.1107421875,182.1340789794922,0.011540257,0.0003,0.1288774609565735,0.2,-1.386822336912155
0.7630000000000001,28768,4.71,35328,1,90.0,1,69,680,345.3983669281006,-0.010908684879541396,0.0173828125,157.07107543945312,0.0049739257,0.0003,0.18028658628463745,0.2,-1.3385472476482392
-0.026999999999999958,29176,4.51,35840,1,-158.0,0,70,690,320.99966793060304,-0.0171297182852868,0.0513671875,126.19789123535156,0.007076144,0.0003,0.14044517278671265,0.2,-1.147619816660881
0.30999999999999983,29585,4.68,36352,1,186.0,1,71,700,361.7686256408691,-0.015118878980865702,0.0458984375,181.16671752929688,0.0067721987,0.0003,0.1860700249671936,0.2,-1.3529325127601624
-0.025000000000000567,29898,4.98,36864,1,186.0,1,72,710,388.3816160202026,-0.018175865383818747,0.0814453125,177.66075134277344,0.0073169963,0.0003,0.1900465488433838,0.2,-1.3150668054819108
-0.2055000000000002,30267,4.63,37376,1,-302.0,0,73,720,232.9649839401245,-0.014301758713554592,0.0458984375,125.28929901123047,0.0036882749,0.0003,0.2096443772315979,0.2,-0.8182672426104546
0.017500000000000283,30651,4.42,37888,1,-158.0,0,74,730,309.75420436859133,-0.015499990666285157,0.05703125,115.67871856689453,0.0061037727,0.0003,0.2769796848297119,0.2,-1.0768219545483588
-0.7294999999999997,31042,4.64,38400,1,-158.0,0,75,740,360.89384784698484,-0.018911154591478407,0.0828125,167.36460876464844,0.0084261205,0.0003,0.23715078830718994,0.2,-1.114606299251318
-0.3569999999999995,31443,4.78,38912,1,-14.0,0,76,750,293.4692493438721,-0.016312545421533285,0.074609375,159.95388793945312,0.0056117834,0.0003,0.2725156545639038,0.2,-1.0804249510169028
0.2195,31832,4.43,39424,1,-158.0,0,77,760,282.4670063018799,-0.02164108624565415,0.103125,124.17066955566406,0.009798129,0.0003,0.3392069339752197,0.2,-1.1565180107951165
0.3605,32181,4.88,39936,1,-158.0,0,78,770,421.8037284851074,-0.0156138165097218,0.03828125,205.161865234375,0.00489547,0.0003,0.2212185263633728,0.2,-0.9866711966693401
0.24550000000000016,32531,4.86,40448,1,-14.0,0,79,780,300.2577705383301,-0.01765237863874063,0.05,106.16316986083984,0.0048347753,0.0003,0.23918110132217407,0.2,-0.8577272363007069
0.4425000000000003,32845,5.11,40960,1,186.0,1,80,790,281.2918045043945,-0.013658406666945667,0.0240234375,155.92453002929688,0.004130777,0.0003,0.20718806982040405,0.2,-0.8087893843650817
-0.9504999999999997,33218,4.7,41472,1,-158.0,0,81,800,160.48495225906373,-0.018482524252613076,0.06015625,81.59168243408203,0.0047762617,0.0003,0.28696268796920776,0.2,-0.5508438263088464
0.14749999999999985,33616,4.9,41984,1,186.0,1,82,810,305.4959156036377,-0.016625658283010124,0.050390625,118.02535247802734,0.00537563,0.0003,0.22469836473464966,0.2,-0.8595710195600986
0.015,33844,5.88,42496,1,-302.0,0,83,820,330.0847400665283,-0.012397580535616726,0.0501953125,162.07188415527344,0.0065215854,0.0003,0.21721148490905762,0.2,-0.9066669300198555
0.09750000000000014,34104,5.59,43008,1,186.0,1,84,830,45.01080364510417,-0.005412788095418364,0.012890625,0.42772364616394043,0.0013355766,0.0003,-0.20075809955596924,0.2,-0.0952219326980412
-0.6275,34393,5.6,43520,1,-14.0,0,85,840,82.75470666885376,-0.01903117800538894,0.0353515625,24.13887596130371,0.0038587432,0.0003,0.19023752212524414,0.2,-0.2699632842093706
0.6630000000000001,34644,5.58,44032,1,186.0,1,86,850,126.72379384040832,-0.01592319443007,0.04375,74.40119171142578,0.004211963,0.0003,0.28745460510253906,0.2,-0.4254910420626402
-0.623,34915,5.53,44544,1,-302.0,0,87,860,43.241570341587064,-0.01097962635831209,0.0263671875,23.332962036132812,0.0020171476,0.0003,0.25838351249694824,0.2,-0.20543639454990625
