rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,custom/max_height,custom/current_screen,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/clip_range,train/clip_fraction,train/value_loss,train/approx_kl,train/n_updates,train/loss
207.55940536999998,28672,30.78,1,14,15116,8714.0,25,-0.0035625291493488476,0.00202178955078125,0.0001,-0.7411091335117816,0.2,0.02412109375,4637.216607666016,0.0037344103,65,2334.712890625
193.16785737,30720,30.11,1,15,16267,8730.0,25,-0.005710149765945971,0.003079235553741455,0.0001,-0.7261806935071945,0.2,0.0298828125,4415.3370803833,0.0042855153,70,2105.3525390625
196.38439331,32768,28.52,1,16,17418,8714.0,25,-0.0017650933965342118,0.0018465518951416016,0.0001,-0.7274016879498959,0.2,0.021875,4455.984455871582,0.004550853,75,2973.7666015625
203.73823535,34816,29.27,1,17,18587,8730.0,25,-0.0033355835068505256,0.001972675323486328,0.0001,-0.7412791270762682,0.2,0.01923828125,4300.661569213868,0.002603437,80,1740.560302734375
200.74507155,36864,30.49,1,18,19723,8714.0,25,-0.0034925258427392692,0.0013731122016906738,0.0001,-0.7428532425314188,0.2,0.026953125,4164.379472351075,0.0050942358,85,2326.773193359375
208.46514299000003,38912,26.91,1,19,20919,8930.0,25,-0.002716560394037515,0.0007610321044921875,0.0001,-0.7385500684380532,0.2,0.01572265625,4037.0341400146485,0.0035790186,90,1764.1849365234375
194.42358202000003,40960,28.71,1,20,22068,8714.0,25,-0.00036316867044661194,0.000905156135559082,0.0001,-0.760040258616209,0.2,0.00634765625,3790.585317993164,0.0011624262,95,1602.1502685546875
212.60794760000002,43008,30.26,1,21,23200,8730.0,25,-0.0026985862001311033,0.0005422830581665039,0.0001,-0.7415886133909225,0.2,0.021484375,3921.4669876098633,0.0034475718,100,1758.1497802734375
214.82292403000002,45056,27.43,1,22,24378,8714.0,25,-0.004431413681595586,0.0009222626686096191,0.0001,-0.7566138461232186,0.2,0.02861328125,2660.3807304382326,0.0055028866,105,1333.25830078125
193.54556198000003,47104,26.83,1,23,25593,8930.0,25,-0.0053143434430239726,0.00047194957733154297,0.0001,-0.7405669212341308,0.2,0.037109375,3267.7578399658205,0.0045051156,110,1648.40625
193.98434314,49152,28.31,1,24,26777,8730.0,25,-0.005029452574672177,0.0003660917282104492,0.0001,-0.7488347738981247,0.2,0.080078125,3636.0662406921388,0.0072898758,115,1688.5833740234375
201.08418603,51200,29.46,1,25,27929,8714.0,25,-0.0038806944241514428,0.0003107786178588867,0.0001,-0.7510382395237685,0.2,0.059375,3088.248307800293,0.0069532115,120,1633.141845703125
200.45190073,53248,36.59,1,26,29000,8930.0,25,-0.0024417958526356406,0.00027996301651000977,0.0001,-0.7296197931628582,0.2,0.05539772727272727,2684.6796996061466,0.014423907,124,1392.7943115234375
203.34285146,55296,43.95,1,27,30022,8714.0,25,0.017299472984364805,0.00039762258529663086,0.0001,-0.705578460412867,0.2,0.12316176470588236,1781.7206528607537,0.011780824,125,1105.7115478515625
205.09864560999998,57344,49.27,1,28,31036,8834.0,25,-2.9850495047867297e-05,0.0006176233291625977,0.0001,-0.716861255094409,0.2,0.0732421875,1468.8772354125977,0.01131325,130,594.38134765625
209.18993100000006,59392,47.55,1,29,32096,8714.0,25,-0.001955158722570591,0.0008720159530639648,0.0001,-0.7462476711524161,0.2,0.09936951754385964,1696.986327589604,0.012275364,134,614.9034423828125
218.31847056000004,61440,40.42,1,30,33150,8834.0,25,-0.0020113718608627098,0.0069304704666137695,0.0001,-0.7796425793319941,0.2,0.0353515625,1562.5378719329833,0.005387703,139,965.2649536132812
226.17080967,63488,35.28,1,31,34270,8730.0,25,-0.008502695619245059,0.03332787752151489,0.0001,-0.7946536548435688,0.2,0.0421875,910.6340343475342,0.005532373,144,443.28753662109375
212.35265981,65536,31.14,1,32,35420,8730.0,25,-0.006867749156663194,0.022522807121276855,0.0001,-0.8175552595406771,0.2,0.03779296875,945.2911193847656,0.0043688715,149,436.1271057128906
208.87762219999996,67584,31.09,1,33,36520,8930.0,25,0.006763182041284285,0.0014310479164123535,0.0001,-0.8092530808950725,0.2,0.08223684210526316,2177.27048853824,0.008500281,150,1278.046142578125
207.70204927999998,69632,35.79,1,34,37579,8930.0,25,0.0011385352632334066,0.00240403413772583,0.0001,-0.7916663843531941,0.2,0.048328488372093026,1942.7580722542696,0.011153515,152,777.2720336914062
