time/fps,rollout/ep_len_mean,custom/current_screen,custom/max_height,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/explained_variance,train/value_loss,train/entropy_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/clip_range,train/loss
1,19.89,17,6066.0,305.32475731,15360,12826,15,0.00038301944732666016,18424.102197265624,-0.7146177813410759,0.0001,85,-0.006190579693065956,0.01328125,0.002518305,0.2,10685.634765625
1,19.01,17,5898.0,283.24507110999997,16384,13696,16,0.0023658275604248047,17574.360302734374,-0.7174086183309555,0.0001,90,-0.005836546182399616,0.0220703125,0.002949084,0.2,7356.07958984375
1,18.29,17,6066.0,267.57154942,17408,14576,17,0.0005093812942504883,19207.687133789062,-0.7144073694944382,0.0001,95,-0.007973618822870777,0.025,0.004324248,0.2,11945.8466796875
1,18.21,17,5866.0,258.62141936,18432,15445,18,0.004133760929107666,17128.109460449217,-0.7456294521689415,0.0001,100,-0.0092020932410378,0.03046875,0.003547174,0.2,8580.9140625
1,18.43,17,6010.0,259.69863689,19456,16310,19,0.004594147205352783,17450.814489746095,-0.7369371093809605,0.0001,105,-0.014878604441764764,0.0591796875,0.0076348484,0.2,7296.53857421875
1,19.28,17,5866.0,288.62239529999994,20480,17163,20,0.000317990779876709,17254.472021484376,-0.7509019285440445,0.0001,110,-0.007984899554867298,0.0466796875,0.006233366,0.2,10033.568359375
1,19.62,17,6026.0,313.01176399,21504,18023,21,0.0012479424476623535,16005.003076171875,-0.7550335593521595,0.0001,115,-0.00971968073863536,0.038671875,0.007042184,0.2,7666.126953125
1,18.95,17,6002.0,294.676607,22528,18890,22,0.0004832744598388672,15980.98585205078,-0.7378885522484779,0.0001,120,-0.006629844335839153,0.012890625,0.0035709427,0.2,7301.94287109375
1,18.91,17,5898.0,279.16603856,23552,19747,23,2.6226043701171875e-05,16865.4033203125,-0.7461308538913727,0.0001,125,-0.008531549596227705,0.0291015625,0.003877991,0.2,8796.498046875
1,19.22,17,6010.0,297.29875284,24576,20611,24,0.0021812915802001953,15768.593798828126,-0.7682122729718686,0.0001,130,-0.006189816724509,0.016015625,0.0038984786,0.2,7758.4638671875
1,18.6,17,6002.0,292.59986506999996,25600,21483,25,0.00020509958267211914,15511.173449707032,-0.7553839690983295,0.0001,135,-0.008599450188921765,0.02265625,0.0036496439,0.2,8349.9658203125
1,18.12,17,6002.0,272.29193977,26624,22375,26,0.000664055347442627,15774.078503417968,-0.7653367720544338,0.0001,140,-0.009370130713796243,0.0244140625,0.0043154918,0.2,6970.296875
1,18.55,17,5850.0,260.67535886999997,27648,23249,27,0.001200258731842041,16988.99284667969,-0.7692548550665379,0.0001,145,-0.006070839799940586,0.037109375,0.006943125,0.2,8421.1484375
1,18.97,17,5818.0,270.06163445,28672,24123,28,0.0005720257759094238,17895.24119873047,-0.7681449078023433,0.0001,150,-0.013565765018574894,0.0833984375,0.0061281305,0.2,7386.05859375
1,18.89,17,5818.0,296.21146331,29696,25009,29,0.00010657310485839844,15013.132946777343,-0.7663203462958336,0.0001,155,-0.00722225375357084,0.01171875,0.0022313988,0.2,8810.9970703125
1,18.7,17,5866.0,288.30488504,30720,25878,30,3.5762786865234375e-05,13846.354125976562,-0.7645429782569408,0.0001,160,-0.008034460002090783,0.0224609375,0.0043945815,0.2,6888.97021484375
1,17.91,17,6010.0,260.4648924,31744,26791,31,0.0007328391075134277,14260.10859375,-0.7706920146942139,0.0001,165,-0.009781371185090393,0.016796875,0.0047824,0.2,7399.15283203125
1,17.49,17,5850.0,250.81987742,32768,27712,32,0.00014925003051757812,17694.401916503906,-0.7825862541794777,0.0001,170,-0.008723915892187507,0.0212890625,0.0024993704,0.2,10142.224609375
1,19.08,17,6026.0,303.35936532,33792,28600,33,0.001545548439025879,15553.479833984375,-0.791716343164444,0.0001,175,-0.0065586569457082074,0.023046875,0.0038269742,0.2,7288.66845703125
1,19.38,17,5818.0,300.57875413,34816,29491,34,0.0007857084274291992,13162.668920898437,-0.8060327425599099,0.0001,180,-0.0062734073406318204,0.027734375,0.004197944,0.2,6233.20458984375
1,19.56,17,5866.0,301.12966257999994,35840,30375,35,0.0003571510314941406,12507.896630859375,-0.8161082483828068,0.0001,185,-0.009502480365335941,0.0171875,0.004151851,0.2,5457.99853515625
1,19.06,17,6002.0,302.08875603,36864,31249,36,0.00025069713592529297,11658.4962890625,-0.8363201409578324,0.0001,190,-0.012098139827139675,0.07265625,0.011880165,0.2,5168.39697265625
