custom/current_screen,rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,custom/max_height,rollout/ep_rew_mean,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_range,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate
0,4.94,11264,1,22,8777,-302.0,-1.055,0.1021484375,0.221122145652771,210,-2.4750448882579805,0.2,0.011636363,203.97039518356323,-0.020005492569180206,88.63790893554688,0.0003
0,4.97,11776,1,23,9200,-302.0,-1.1444999999999999,0.033203125,0.2238052487373352,220,-2.467176592350006,0.2,0.008393001,248.22822456359864,-0.01348077823058702,113.01426696777344,0.0003
0,4.96,12288,1,24,9614,-302.0,-0.8974999999999997,0.0458984375,0.24852406978607178,230,-2.4767518520355223,0.2,0.009054613,226.73625507354737,-0.014605476550059393,113.46453094482422,0.0003
0,5.01,12800,1,25,10046,-302.0,-1.6305,0.0482421875,0.22355890274047852,240,-2.470401722192764,0.2,0.010775065,279.5244695663452,-0.016735329729272053,135.6708221435547,0.0003
0,4.97,13312,1,26,10478,-302.0,-1.0149999999999997,0.0806640625,0.30701446533203125,250,-2.3887505292892457,0.2,0.0077079237,221.8806261062622,-0.018617001711390913,104.63263702392578,0.0003
0,4.92,13824,1,27,10913,-158.0,-0.8689999999999994,0.0759765625,0.20150411128997803,260,-2.4079627126455305,0.2,0.009260095,249.03561477661134,-0.020024523511528967,121.16436767578125,0.0003
0,4.92,14336,1,28,11349,-158.0,-0.9899999999999999,0.09921875,0.16023331880569458,270,-2.4042462199926375,0.2,0.0104874205,307.3134063720703,-0.023180714063346385,174.34751892089844,0.0003
0,4.86,14848,1,29,11782,-158.0,-1.0294999999999996,0.0921875,0.2734453082084656,280,-2.3410047471523283,0.2,0.011359655,227.22452640533447,-0.019552093418315052,117.22621154785156,0.0003
0,4.91,15360,1,30,12215,-302.0,-0.9025,0.0712890625,0.3048452138900757,290,-2.3824167132377623,0.2,0.010127116,238.97452220916747,-0.01710934393340722,109.7033462524414,0.0003
0,4.88,15872,1,31,12646,-158.0,-1.0649999999999997,0.1279296875,0.184695303440094,300,-2.3861758708953857,0.2,0.011170639,267.05081272125244,-0.028407480154419316,126.65486907958984,0.0003
