Start session - 5/17/2026 6:19PM
134.00,-296.17,295.00,-302.00,23,0.3833;134.00,-296.17|137.50,-290.60|141.00,-285.29|144.50,-280.23|148.00,-275.43|151.50,-270.89|155.00,-266.60|158.50,-262.57|162.00,-258.80|165.50,-255.29|169.00,-252.03|172.50,-249.03|176.00,-246.29|179.50,-243.80|183.00,-241.57|186.50,-239.60|190.00,-237.89|193.50,-236.43|197.00,-235.23|200.50,-234.29|204.00,-233.60|207.50,-233.17|211.00,-233.00|214.50,-233.09|218.00,-233.43|221.50,-234.03|225.00,-234.89|228.50,-236.00|232.00,-237.37|235.50,-239.00|239.00,-240.89|242.50,-243.03|246.00,-245.43|249.50,-248.09|253.00,-251.00|256.50,-254.17|260.00,-257.60|263.50,-261.29|267.00,-265.23|270.50,-269.43|274.00,-273.89|277.50,-278.60|281.00,-283.57|284.50,-288.80|288.00,-294.29|291.50,-300.03
145.50,-296.41,299.50,-302.00,22,0.3667;145.50,-296.41|149.00,-291.09|152.50,-286.01|156.00,-281.20|159.50,-276.64|163.00,-272.34|166.50,-268.30|170.00,-264.51|173.50,-260.99|177.00,-257.71|180.50,-254.70|184.00,-251.94|187.50,-249.44|191.00,-247.20|194.50,-245.21|198.00,-243.49|201.50,-242.01|205.00,-240.80|208.50,-239.84|212.00,-239.14|215.50,-238.70|219.00,-238.51|222.50,-238.59|226.00,-238.91|229.50,-239.50|233.00,-240.34|236.50,-241.44|240.00,-242.80|243.50,-244.41|247.00,-246.29|250.50,-248.41|254.00,-250.80|257.50,-253.44|261.00,-256.34|264.50,-259.50|268.00,-262.91|271.50,-266.59|275.00,-270.51|278.50,-274.70|282.00,-279.14|285.50,-283.84|289.00,-288.80|292.50,-294.01|296.00,-299.49
130.50,-296.17,291.50,-302.00,23,0.3833;130.50,-296.17|134.00,-290.60|137.50,-285.29|141.00,-280.23|144.50,-275.43|148.00,-270.89|151.50,-266.60|155.00,-262.57|158.50,-258.80|162.00,-255.29|165.50,-252.03|169.00,-249.03|172.50,-246.29|176.00,-243.80|179.50,-241.57|183.00,-239.60|186.50,-237.89|190.00,-236.43|193.50,-235.23|197.00,-234.29|200.50,-233.60|204.00,-233.17|207.50,-233.00|211.00,-233.09|214.50,-233.43|218.00,-234.03|221.50,-234.89|225.00,-236.00|228.50,-237.37|232.00,-239.00|235.50,-240.89|239.00,-243.03|242.50,-245.43|246.00,-248.09|249.50,-251.00|253.00,-254.17|256.50,-257.60|260.00,-261.29|263.50,-265.23|267.00,-269.43|270.50,-273.89|274.00,-278.60|277.50,-283.57|281.00,-288.80|284.50,-294.29|288.00,-300.03
142.00,-295.69,317.00,-302.00,25,0.4167;142.00,-295.69|145.50,-289.63|149.00,-283.83|152.50,-278.29|156.00,-273.00|159.50,-267.97|163.00,-263.20|166.50,-258.69|170.00,-254.43|173.50,-250.43|177.00,-246.69|180.50,-243.20|184.00,-239.97|187.50,-237.00|191.00,-234.29|194.50,-231.83|198.00,-229.63|201.50,-227.69|205.00,-226.00|208.50,-224.57|212.00,-223.40|215.50,-222.49|219.00,-221.83|222.50,-221.43|226.00,-221.29|229.50,-221.40|233.00,-221.77|236.50,-222.40|240.00,-223.29|243.50,-224.43|247.00,-225.83|250.50,-227.49|254.00,-229.40|257.50,-231.57|261.00,-234.00|264.50,-236.69|268.00,-239.63|271.50,-242.83|275.00,-246.29|278.50,-250.00|282.00,-253.97|285.50,-258.20|289.00,-262.69|292.50,-267.43|296.00,-272.43|299.50,-277.69|303.00,-283.20|306.50,-288.97|310.00,-295.00|313.50,-301.29
139.00,-296.17,300.00,-302.00,23,0.3833;139.00,-296.17|142.50,-290.60|146.00,-285.29|149.50,-280.23|153.00,-275.43|156.50,-270.89|160.00,-266.60|163.50,-262.57|167.00,-258.80|170.50,-255.29|174.00,-252.03|177.50,-249.03|181.00,-246.29|184.50,-243.80|188.00,-241.57|191.50,-239.60|195.00,-237.89|198.50,-236.43|202.00,-235.23|205.50,-234.29|209.00,-233.60|212.50,-233.17|216.00,-233.00|219.50,-233.09|223.00,-233.43|226.50,-234.03|230.00,-234.89|233.50,-236.00|237.00,-237.37|240.50,-239.00|244.00,-240.89|247.50,-243.03|251.00,-245.43|254.50,-248.09|258.00,-251.00|261.50,-254.17|265.00,-257.60|268.50,-261.29|272.00,-265.23|275.50,-269.43|279.00,-273.89|282.50,-278.60|286.00,-283.57|289.50,-288.80|293.00,-294.29|296.50,-300.03
137.00,-295.44,319.00,-302.00,26,0.4333;137.00,-295.44|140.50,-289.14|144.00,-283.10|147.50,-277.31|151.00,-271.79|154.50,-266.51|158.00,-261.50|161.50,-256.74|165.00,-252.24|168.50,-248.00|172.00,-244.01|175.50,-240.29|179.00,-236.81|182.50,-233.60|186.00,-230.64|189.50,-227.94|193.00,-225.50|196.50,-223.31|200.00,-221.39|203.50,-219.71|207.00,-218.30|210.50,-217.14|214.00,-216.24|217.50,-215.60|221.00,-215.21|224.50,-215.09|228.00,-215.21|231.50,-215.60|235.00,-216.24|238.50,-217.14|242.00,-218.30|245.50,-219.71|249.00,-221.39|252.50,-223.31|256.00,-225.50|259.50,-227.94|263.00,-230.64|266.50,-233.60|270.00,-236.81|273.50,-240.29|277.00,-244.01|280.50,-248.00|284.00,-252.24|287.50,-256.74|291.00,-261.50|294.50,-266.51|298.00,-271.79|301.50,-277.31|305.00,-283.10|308.50,-289.14|312.00,-295.44|315.50,-302.00
156.00,-296.17,317.00,-302.00,23,0.3833;156.00,-296.17|159.50,-290.60|163.00,-285.29|166.50,-280.23|170.00,-275.43|173.50,-270.89|177.00,-266.60|180.50,-262.57|184.00,-258.80|187.50,-255.29|191.00,-252.03|194.50,-249.03|198.00,-246.29|201.50,-243.80|205.00,-241.57|208.50,-239.60|212.00,-237.89|215.50,-236.43|219.00,-235.23|222.50,-234.29|226.00,-233.60|229.50,-233.17|233.00,-233.00|236.50,-233.09|240.00,-233.43|243.50,-234.03|247.00,-234.89|250.50,-236.00|254.00,-237.37|257.50,-239.00|261.00,-240.89|264.50,-243.03|268.00,-245.43|271.50,-248.09|275.00,-251.00|278.50,-254.17|282.00,-257.60|285.50,-261.29|289.00,-265.23|292.50,-269.43|296.00,-273.89|299.50,-278.60|303.00,-283.57|306.50,-288.80|310.00,-294.29|313.50,-300.03
155.50,-295.93,323.50,-302.00,24,0.4000;155.50,-295.93|159.00,-290.11|162.50,-284.56|166.00,-279.26|169.50,-274.21|173.00,-269.43|176.50,-264.90|180.00,-260.63|183.50,-256.61|187.00,-252.86|190.50,-249.36|194.00,-246.11|197.50,-243.13|201.00,-240.40|204.50,-237.93|208.00,-235.71|211.50,-233.76|215.00,-232.06|218.50,-230.61|222.00,-229.43|225.50,-228.50|229.00,-227.83|232.50,-227.41|236.00,-227.26|239.50,-227.36|243.00,-227.71|246.50,-228.33|250.00,-229.20|253.50,-230.33|257.00,-231.71|260.50,-233.36|264.00,-235.26|267.50,-237.41|271.00,-239.83|274.50,-242.50|278.00,-245.43|281.50,-248.61|285.00,-252.06|288.50,-255.76|292.00,-259.71|295.50,-263.93|299.00,-268.40|302.50,-273.13|306.00,-278.11|309.50,-283.36|313.00,-288.86|316.50,-294.61|320.00,-300.63
141.00,-295.20,330.00,-302.00,27,0.4500;141.00,-295.20|144.50,-288.66|148.00,-282.37|151.50,-276.34|155.00,-270.57|158.50,-265.06|162.00,-259.80|165.50,-254.80|169.00,-250.06|172.50,-245.57|176.00,-241.34|179.50,-237.37|183.00,-233.66|186.50,-230.20|190.00,-227.00|193.50,-224.06|197.00,-221.37|200.50,-218.94|204.00,-216.77|207.50,-214.86|211.00,-213.20|214.50,-211.80|218.00,-210.66|221.50,-209.77|225.00,-209.14|228.50,-208.77|232.00,-208.66|235.50,-208.80|239.00,-209.20|242.50,-209.86|246.00,-210.77|249.50,-211.94|253.00,-213.37|256.50,-215.06|260.00,-217.00|263.50,-219.20|267.00,-221.66|270.50,-224.37|274.00,-227.34|277.50,-230.57|281.00,-234.06|284.50,-237.80|288.00,-241.80|291.50,-246.06|295.00,-250.57|298.50,-255.34|302.00,-260.37|305.50,-265.66|309.00,-271.20|312.50,-277.00|316.00,-283.06|319.50,-289.37|323.00,-295.94|326.50,-302.77
132.50,-294.96,325.00,-302.00,28,0.4667;132.50,-294.96|136.00,-288.17|139.50,-281.64|143.00,-275.37|146.50,-269.36|150.00,-263.60|153.50,-258.10|157.00,-252.86|160.50,-247.87|164.00,-243.14|167.50,-238.67|171.00,-234.46|174.50,-230.50|178.00,-226.80|181.50,-223.36|185.00,-220.17|188.50,-217.24|192.00,-214.57|195.50,-212.16|199.00,-210.00|202.50,-208.10|206.00,-206.46|209.50,-205.07|213.00,-203.94|216.50,-203.07|220.00,-202.46|223.50,-202.10|227.00,-202.00|230.50,-202.16|234.00,-202.57|237.50,-203.24|241.00,-204.17|244.50,-205.36|248.00,-206.80|251.50,-208.50|255.00,-210.46|258.50,-212.67|262.00,-215.14|265.50,-217.87|269.00,-220.86|272.50,-224.10|276.00,-227.60|279.50,-231.36|283.00,-235.37|286.50,-239.64|290.00,-244.17|293.50,-248.96|297.00,-254.00|300.50,-259.30|304.00,-264.86|307.50,-270.67|311.00,-276.74|314.50,-283.07|318.00,-289.66|321.50,-296.50
