rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,custom/current_screen,rollout/ep_rew_mean,custom/max_height,train/n_updates,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_range,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/loss,train/approx_kl
8.69,16384,13518,16,1,35,202.48246458999998,12282.0,75,-0.412489740177989,-0.0005346536636352539,23705.24265136719,0.2,0.00078125,0.0001,-0.003710816949023865,12430.412109375,0.0029754266
8.91,17408,14387,17,1,35,226.70004034,12378.0,80,-0.41510470733046534,-0.0007090568542480469,23373.38425292969,0.2,0.015234375,0.0001,-0.0027031442383304237,12524.1982421875,0.0042887283
8.64,18432,15280,18,1,35,218.08948479999998,12282.0,85,-0.4146096035838127,-0.0028858184814453125,21310.144287109375,0.2,0.016796875,0.0001,-0.004872213324415497,10456.9072265625,0.0027645347
8.45,19456,16185,19,1,35,198.05428278,12282.0,90,-0.3929205469787121,-0.0006984472274780273,22010.95029296875,0.2,0.0091796875,0.0001,-0.00462472154176794,9636.9248046875,0.0021701695
8.52,20480,17088,20,1,35,207.61048480000002,12514.0,95,-0.3920536287128925,-0.0002480745315551758,22555.7234375,0.2,0.01328125,0.0001,-0.002055560861481354,11415.8681640625,0.0019327232
8.49,21504,17988,21,1,35,197.88324237999998,12282.0,100,-0.38834469616413114,-6.4849853515625e-05,21486.868408203125,0.2,0.0076171875,0.0001,-0.0021033546654507518,10355.4130859375,0.0014848065
8.39,22528,18895,22,1,35,217.55033328999997,12282.0,105,-0.37907227836549284,-3.337860107421875e-05,22011.497143554687,0.2,0.001953125,0.0001,-0.0012375103076919913,10320.138671875,0.0011525424
8.41,23552,19804,23,1,35,178.36337369,12282.0,110,-0.3742738481611013,-5.829334259033203e-05,20704.79196777344,0.2,0.0109375,0.0001,-0.0017194100306369363,10548.7333984375,0.002869609
8.46,24576,20699,24,1,35,203.49524236999997,12282.0,115,-0.4030597683042288,-1.8715858459472656e-05,22482.989184570313,0.2,0.025,0.0001,-0.003463681903667748,11445.3935546875,0.0033095533
8.47,25600,21606,25,1,35,213.49881813999997,12282.0,120,-0.3924996413290501,-4.0411949157714844e-05,20200.708447265624,0.2,0.012109375,0.0001,-0.004373170269536786,9447.12109375,0.0016610164
8.68,26624,22493,26,1,35,217.20437368,12282.0,125,-0.37495894320309164,-5.435943603515625e-05,19136.668383789063,0.2,0.003515625,0.0001,-0.003100547820213251,9080.775390625,0.0009800559
8.34,27648,23407,27,1,35,193.32046459999998,12378.0,130,-0.3611648343503475,-6.401538848876953e-05,18202.752209472656,0.2,0.0263671875,0.0001,-0.005463737522950396,9140.8388671875,0.004566609
8.57,28672,24305,28,1,35,212.44555550999996,12282.0,135,-0.38272944577038287,-2.2172927856445312e-05,19703.8712890625,0.2,0.0525390625,0.0001,0.0004858932690694928,9798.912109375,0.0054384177
8.63,29696,25196,29,1,35,212.34833327999993,12282.0,140,-0.39545670375227926,-4.220008850097656e-05,17811.40577392578,0.2,0.0080078125,0.0001,-0.0007942127966089174,8279.865234375,0.0023229434
8.98,30720,26058,30,1,35,226.56721205999995,12282.0,145,-0.44137922413647174,-2.574920654296875e-05,18116.83857421875,0.2,0.0509765625,0.0001,-0.001194779179058969,9057.681640625,0.008341124
8.84,31744,26937,31,1,35,212.15439388000001,12378.0,150,-0.4370235033333302,-4.470348358154297e-05,16480.3361328125,0.2,0.061328125,0.0001,-0.008695473667467013,8901.9287109375,0.008194558
8.56,32768,27831,32,1,35,207.58168683,12282.0,155,-0.4082893799990416,-2.6345252990722656e-05,16870.546630859375,0.2,0.0388671875,0.0001,-0.008316246373578907,8657.2294921875,0.0031875034
8.33,33792,28731,33,1,35,209.21077772999996,12282.0,160,-0.38707937896251676,-2.5272369384765625e-05,16765.823767089845,0.2,0.019140625,0.0001,-0.0041887615341693165,7295.54736328125,0.0049966127
8.58,34816,29628,34,1,35,222.21344440000001,12282.0,165,-0.3805812824517488,-2.9325485229492188e-05,15955.062707519532,0.2,0.00703125,0.0001,-0.0034699261945206673,8653.2998046875,0.0016959679
8.64,35840,30512,35,1,35,217.21624238,12282.0,170,-0.39515836611390115,-4.8160552978515625e-05,14757.6525390625,0.2,0.0119140625,0.0001,-0.002750599425053224,7555.68408203125,0.0028578737
8.52,36864,31413,36,1,35,217.35615146,12514.0,175,-0.40154825896024704,-4.076957702636719e-05,14501.325476074218,0.2,0.0099609375,0.0001,-0.003556378826033324,7396.97119140625,0.001770891
8.93,37888,32281,37,1,35,211.97308075,12282.0,180,-0.41684740148484706,-2.956390380859375e-05,14454.653125,0.2,0.0587890625,0.0001,-0.007036020525265485,6689.06787109375,0.0075185886
8.9,38912,33148,38,1,35,192.47331697,12282.0,185,-0.4588817432522774,-1.7881393432617188e-05,14631.401086425782,0.2,0.0662109375,0.0001,-0.0033611252933042125,9062.1708984375,0.008297313
9.1,39936,33995,39,1,35,197.14889894,12514.0,190,-0.4671795941889286,-1.0251998901367188e-05,15736.835498046876,0.2,0.0216796875,0.0001,-0.0006176253838930279,8919.6123046875,0.0027818035
9.41,40960,34827,40,1,35,216.60066660999996,12282.0,195,-0.48234072923660276,-1.0848045349121094e-05,14948.67138671875,0.2,0.0466796875,0.0001,-0.003892157238442451,6551.93408203125,0.0064552925
9.0,41984,35690,41,1,35,216.85134337999997,12282.0,200,-0.4758808117359877,-2.2411346435546875e-05,12737.13349609375,0.2,0.115234375,0.0001,-0.012450489899492823,5963.0029296875,0.010101212
9.32,43008,36540,42,1,35,216.49780802,12282.0,205,-0.46896898858249186,-1.6927719116210938e-05,13110.909741210937,0.2,0.008203125,0.0001,-0.0033439105725847186,5940.22705078125,0.0022972005
9.03,44032,37401,43,1,35,216.79174741999995,12514.0,210,-0.4608544897288084,-1.6570091247558594e-05,12608.360009765625,0.2,0.039453125,0.0001,-0.008946667026611977,5969.75830078125,0.005508239
9.04,45056,38267,44,1,35,221.69324235999997,12514.0,215,-0.454871229454875,-1.919269561767578e-05,11851.6330078125,0.2,0.034375,0.0001,-0.008239686070010067,5361.23974609375,0.0052666496
8.57,46080,39160,45,1,35,207.53168681,12282.0,220,-0.4176347628235817,-2.3603439331054688e-05,11249.771801757812,0.2,0.0806640625,0.0001,-0.010595970624126493,5477.3125,0.0070080603
8.88,47104,40033,46,1,35,221.84374741999997,12282.0,225,-0.419302237033844,-1.1086463928222656e-05,12585.166442871094,0.2,0.0224609375,0.0001,-0.003966349066467955,5481.59375,0.003814345
9.01,48128,40893,47,1,35,202.34289892999996,12282.0,230,-0.4474055480211973,-2.3484230041503906e-05,10523.640856933594,0.2,0.021875,0.0001,-0.0002865614485926926,6011.74755859375,0.0036707367
8.73,49152,41768,48,1,35,188.71937368999997,12282.0,235,-0.4746630690991879,-7.867813110351562e-06,12376.107385253907,0.2,0.02421875,0.0001,-0.003317470935871825,6605.68359375,0.002500929
8.92,50176,42637,49,1,35,198.0976907,12282.0,240,-0.46862402409315107,-5.602836608886719e-06,13509.3009765625,0.2,0.0072265625,0.0001,-0.003462317411322147,8180.4296875,0.0025036815
8.77,51200,43513,50,1,35,221.98011104999998,12282.0,245,-0.44274374581873416,-5.0067901611328125e-06,12920.41934814453,0.2,0.0837890625,0.0001,-0.01062418322544545,5543.533203125,0.0064183977
8.79,52224,44392,51,1,35,218.33808076000003,12378.0,250,-0.4082613818347454,-1.3470649719238281e-05,10109.619079589844,0.2,0.026953125,0.0001,-0.005007696122629568,6849.10205078125,0.0036137276
8.63,53248,45285,52,1,35,231.96592924999996,12282.0,255,-0.3851014293730259,-1.633167266845703e-05,9221.948046875,0.2,0.019140625,0.0001,-0.006577429547905922,3638.568115234375,0.0028521116
8.51,54272,46192,53,1,35,222.34879792999996,12282.0,260,-0.3718068413436413,-2.5391578674316406e-05,8381.328051757813,0.2,0.01484375,0.0001,-0.002608362631872296,4066.03955078125,0.0021531177
8.35,55296,47094,54,1,35,183.26513127,12282.0,265,-0.39971281848847867,-4.5299530029296875e-06,11232.975897216797,0.2,0.03359375,0.0001,-0.0004517046210821718,5431.25439453125,0.003938425
8.6,56320,47988,55,1,35,217.29755551000002,12378.0,270,-0.42349339835345745,-3.4570693969726562e-06,12720.116571044922,0.2,0.0466796875,0.0001,-0.0030923346639610827,6615.125,0.003441641
8.78,57344,48867,56,1,35,217.10008076000005,12282.0,275,-0.4070424444973469,-9.894371032714844e-06,8844.844403076171,0.2,0.01015625,0.0001,-0.002550461556529626,4484.53759765625,0.001760634
8.65,58368,49756,57,1,35,202.7994646,12282.0,280,-0.43108296394348145,-6.9141387939453125e-06,9260.901794433594,0.2,0.0017578125,0.0001,-0.0001818520948290825,4864.8681640625,0.000675449
8.73,59392,50638,58,1,35,207.40289893999997,12282.0,285,-0.40452740229666234,-3.933906555175781e-06,11162.137768554687,0.2,0.025390625,0.0001,-0.0053475204622372985,5489.087890625,0.0038213362
8.53,60416,51543,59,1,35,202.75313559999998,12282.0,290,-0.38661341965198515,-5.4836273193359375e-06,9592.20835571289,0.2,0.02578125,0.0001,-0.005668143020011484,4011.538330078125,0.0041376334
8.39,61440,52455,60,1,35,207.78244439999997,12282.0,295,-0.3640944678336382,-3.6954879760742188e-06,10595.412176513672,0.2,0.0095703125,0.0001,-0.0034729870967566967,4296.3349609375,0.002017285
8.55,62464,53352,61,1,35,212.48358971000002,12282.0,300,-0.3689110964536667,-2.7418136596679688e-06,9865.41431274414,0.2,0.011328125,0.0001,-0.0012538331386167556,4003.455078125,0.0015763878
