time/iterations,custom/max_height,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,custom/current_screen,time/total_timesteps,train/approx_kl,train/loss,train/learning_rate,train/entropy_loss,train/value_loss,train/clip_range,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/clip_fraction
21,186.0,47.08,60808,0,-141.47599999999994,1,43008,0.008791363,877.43896484375,0.0001,-2.4585794508457184,1742.1505531311036,0.2,-0.00890970960026607,100,4.887580871582031e-06,0.10654296875
22,186.0,49.08,63424,0,-144.68999999999994,1,45056,0.010597952,1821.669921875,0.0001,-2.4886199489235876,2233.2057037353516,0.2,-0.006664708440075629,105,1.2278556823730469e-05,0.080078125
23,186.0,43.49,66020,0,-141.73199999999997,1,47104,0.011869196,579.5662841796875,0.0001,-2.516671875119209,1725.4005058288574,0.2,-0.009081967000383884,110,3.427267074584961e-05,0.09560546875
24,90.0,43.23,68500,0,-140.27599999999995,1,49152,0.013626054,915.5119018554688,0.0001,-2.517979346215725,1606.9959888458252,0.2,-0.009153002098173602,115,5.3048133850097656e-05,0.10595703125
25,90.0,46.78,70895,0,-139.474,1,51200,0.011352112,618.0223388671875,0.0001,-2.5778300687670708,1574.6257598876953,0.2,-0.01051359171688091,120,0.002390563488006592,0.1025390625
26,90.0,50.24,73335,0,-141.04599999999996,1,53248,0.013388711,453.4363708496094,0.0001,-2.5718707591295242,1332.0378841400147,0.2,-0.019606785298674368,125,0.016858041286468506,0.1595703125
27,90.0,46.09,75764,0,-143.29999999999995,1,55296,0.010453356,523.1243286132812,0.0001,-2.5890952438116073,1072.192609024048,0.2,-0.011991823586868122,130,0.022779464721679688,0.11748046875
28,90.0,44.31,78176,0,-144.74799999999996,1,57344,0.008078657,528.03173828125,0.0001,-2.5755250632762907,1618.3049194335938,0.2,-0.009060656276415103,135,0.03647524118423462,0.029296875
29,186.0,48.41,80555,0,-143.09399999999994,1,59392,0.0061995815,435.052001953125,0.0001,-2.575265835225582,1154.1621959686279,0.2,-0.007651468884432688,140,0.025985121726989746,0.0224609375
30,186.0,52.19,82809,0,-141.18399999999997,1,61440,0.0068796882,710.412841796875,0.0001,-2.5776795372366905,1069.9673984527587,0.2,-0.008660275960573926,145,0.03957521915435791,0.0505859375
31,186.0,53.64,85114,0,-140.13199999999995,1,63488,0.00831373,612.8261108398438,0.0001,-2.576764975488186,1055.8238357543946,0.2,-0.009995987301226705,150,0.05294013023376465,0.0482421875
32,186.0,49.16,87372,0,-135.02999999999997,1,65536,0.007318461,740.5119018554688,0.0001,-2.5873711913824082,1046.3924446105957,0.2,-0.005971172836143524,155,0.07409340143203735,0.0423828125
33,186.0,45.98,89599,0,-134.89,1,67584,0.005141983,790.0325927734375,0.0001,-2.5809298276901247,1178.6760204315185,0.2,-0.006644793544546701,160,0.07233220338821411,0.01669921875
