time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,custom/current_screen,time/iterations,time/time_elapsed,custom/max_height,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/n_updates,train/explained_variance,train/loss,train/value_loss
71680,202.63862628999996,2,66.32,30,35,25276,10626.0,0.0001,-0.21340222757023114,-0.0005017321583671639,0.2,0.010929189,0.03350360576923077,162,0.08524817228317261,636.3736572265625,717.9881054804875
73728,202.64635122999996,2,65.9,30,36,26061,10626.0,0.0001,-0.22232305053621532,-0.00011669461964629591,0.2,0.003738797,0.0408203125,167,0.006260097026824951,1345.9886474609375,1597.151042842865
75776,192.48318789,2,63.74,30,37,26869,10498.0,0.0001,-0.2207524411380291,0.0004741607088362798,0.2,0.0029424694,0.01962890625,172,0.39635831117630005,63.5158805847168,133.20293893814087
77824,191.73266834999998,2,62.62,30,38,27668,10626.0,0.0001,-0.22784955063834786,-0.0022344734446960502,0.2,0.0028872697,0.01513671875,177,0.0638115406036377,610.080078125,1456.1672738075256
79872,188.00030944,2,62.05,30,39,28455,10754.0,0.0001,-0.22623200127854942,-0.0018614584289025516,0.2,0.0017499998,0.00703125,182,0.10732483863830566,89.97981262207031,1106.4202663898468
81920,198.44178295999998,2,62.79,30,40,29257,10498.0,0.0001,-0.2131451283581555,0.00033568799262866377,0.2,0.003447493,0.01962890625,187,0.3119749426841736,64.572509765625,349.98872385025027
83968,181.81920549999995,2,61.4,30,41,30100,10754.0,0.0001,-0.2244259150698781,0.00285746314766584,0.2,0.0044300477,0.03203125,192,0.2148122787475586,43.71998596191406,460.02345447540284
86016,157.00986163,2,56.69,30,42,30935,10754.0,0.0001,-0.23658351888880133,-0.0007044472120469436,0.2,0.001603052,0.012109375,197,-0.011734247207641602,2354.5830078125,2743.3273029327393
88064,152.41990202,2,55.37,30,43,31751,10498.0,0.0001,-0.222566282376647,-0.0023847079050028698,0.2,0.0017889427,0.0162109375,202,0.0628126859664917,1299.5267333984375,1874.8684021949769
90112,173.53661275000002,2,58.42,30,44,32563,10626.0,0.0001,-0.2248851742595434,-0.002242969751387136,0.2,0.00054942095,0.00478515625,207,0.19664138555526733,96.47644805908203,1013.5206725597382
92160,187.67133148999994,2,61.11,30,45,33366,10498.0,0.0001,-0.22567656962201,-0.0034940080367960036,0.2,0.0025958247,0.01455078125,212,0.10447067022323608,297.63092041015625,1385.5270650863647
94208,188.21578436,2,61.02,30,46,34198,10754.0,0.0001,-0.2294318774715066,-0.0028263919171877205,0.2,0.005193685,0.04462890625,217,0.1518149971961975,67.95061492919922,530.8915433883667
96256,198.90020081000003,2,62.86,30,47,34991,10626.0,0.0001,-0.24302124790847301,-0.0014854844732326456,0.2,0.0031605517,0.02373046875,222,0.13724344968795776,728.4655151367188,1320.6209901809693
