time/time_elapsed,custom/max_height,time/fps,time/iterations,rollout/ep_len_mean,time/total_timesteps,custom/current_screen,rollout/ep_rew_mean,train/entropy_loss,train/explained_variance,train/clip_range,train/value_loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/loss,train/n_updates
23522,8714.0,1,19,27.26,38912,25,-117.48485628,-1.2320386961102485,0.12891823053359985,0.2,52104.997619628906,0.02255859375,0.0001,0.0061696284,-0.004379296518163755,29518.744140625,90
24879,8714.0,1,20,27.25,40960,25,-41.40993300000001,-1.2381767690181733,0.09882146120071411,0.2,43462.55428466797,0.03837890625,0.0001,0.0077662533,-0.0017743947668350303,24208.111328125,95
26345,8714.0,1,21,25.56,43008,25,-112.83670152,-1.2594193153083324,0.13534706830978394,0.2,45547.09467773438,0.06201171875,0.0001,0.0037255236,-0.0020729806943563744,24298.986328125,100
27817,8730.0,1,22,23.82,45056,25,-120.75042617999999,-1.29450703561306,0.12050575017929077,0.2,44349.19024658203,0.05634765625,0.0001,0.010629988,-0.002642000083869789,29394.291015625,105
29245,8834.0,1,23,24.31,47104,25,-113.68887541,-1.291369716823101,0.14621984958648682,0.2,48681.63679199219,0.03798828125,0.0001,0.004443751,-0.005267077329335734,29742.548828125,110
30533,8730.0,1,24,27.87,49152,25,-64.75349735,-1.2764910332858563,0.13569194078445435,0.2,43188.626989746095,0.07001953125,0.0001,0.005812056,-0.005647523075458594,20611.4140625,115
31952,8714.0,1,25,26.69,51200,25,-163.13507203999998,-1.270052145421505,0.17288470268249512,0.2,36545.559582519534,0.00908203125,0.0001,0.0069407187,-0.002830540100694634,20100.845703125,120
33329,8714.0,1,26,27.1,53248,25,-113.49840122000002,-1.2895208515226841,0.10309797525405884,0.2,39075.85291748047,0.00048828125,0.0001,0.0013205999,-0.001818694682151545,19417.087890625,125
34755,8714.0,1,27,24.8,55296,25,-77.38440436,-1.285768535733223,0.1569676399230957,0.2,39273.09719238281,0.03349609375,0.0001,0.0073720543,-0.006852567370515317,15039.662109375,130
36168,8930.0,1,28,24.42,57344,25,-10.14741450000001,-1.2857994750142097,0.14536625146865845,0.2,60693.1484375,0.00166015625,0.0001,0.00041413627,-0.0012673124874709174,37985.3984375,135
37603,8930.0,1,29,23.96,59392,25,8.071149669999999,-1.294467768073082,0.15014278888702393,0.2,66147.81867675782,0.0060546875,0.0001,0.0025423218,-0.0018972381098137704,32224.96875,140
39088,8930.0,1,30,21.91,61440,25,-53.28483079999999,-1.2959169059991837,0.14523720741271973,0.2,67810.70344238282,0.00283203125,0.0001,0.0027561584,-0.0021470274223247543,42940.8515625,145
40502,8714.0,1,31,23.4,63488,25,-84.85945980999999,-1.3036143474280835,0.09780460596084595,0.2,57117.75676269531,0.0,0.0001,0.00059258833,-0.0006276084779528901,28388.796875,150
41921,8834.0,1,32,25.44,65536,25,-95.27927245000001,-1.273873270303011,0.13199681043624878,0.2,51118.827416992186,0.0,0.0001,0.0002579014,-0.00045698947506025436,27396.82421875,155
43405,8714.0,1,33,21.98,67584,25,-127.80863157999998,-1.2927799850702286,0.1244763731956482,0.2,52612.46309814453,0.0,0.0001,0.0007701673,-0.00017001059459289535,32852.53515625,160
