custom/current_screen,time/total_timesteps,custom/max_height,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/policy_gradient_loss,train/loss,train/clip_range,train/n_updates,train/clip_fraction,train/explained_variance,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss
2,32768,490.0,-57.167689700000004,0,44737,10.03,16,-0.011360123843769544,3803.259765625,0.2,65,0.026171875,0.006167232990264893,0.003503527,4924.429034423828,0.0001,-2.029032448679209
2,34816,490.0,-53.08215131000001,0,47101,10.65,17,-0.009101944926078432,1815.91748046875,0.2,70,0.01220703125,0.021627306938171387,0.0036696382,4073.6576705932616,0.0001,-2.0194922097027304
2,36864,442.0,-47.56555185,0,49320,13.45,18,-0.005414851853856817,1775.188720703125,0.2,75,0.001953125,0.041228532791137695,0.0021377055,3408.0847564697265,0.0001,-1.9853412970900535
2,38912,442.0,-51.392796659999995,0,51673,10.49,19,-0.007727371103101177,1661.08447265625,0.2,80,0.00673828125,0.05936163663864136,0.0030473177,3293.8957656860352,0.0001,-1.9939395181834698
2,40960,442.0,-29.66116726,0,54031,12.44,20,-0.009413166338345037,1849.01171875,0.2,85,0.01025390625,0.0492173433303833,0.003941642,4279.263562011719,0.0001,-1.9681138701736927
2,43008,490.0,-43.13470881999999,0,56421,11.59,21,-0.005061820018454455,2306.354248046875,0.2,90,0.00556640625,0.06382066011428833,0.002067508,4561.657752990723,0.0001,-1.9655942097306252
2,45056,442.0,-39.64238808000001,0,58772,13.67,22,-0.003201912375516258,2184.533203125,0.2,95,0.0005859375,0.08102357387542725,0.0011035244,4451.920536804199,0.0001,-1.961188681423664
2,47104,538.0,-31.06668259,0,61182,11.36,23,-0.004551286261994391,1693.9005126953125,0.2,100,0.0005859375,0.1396922469139099,0.0013917796,3181.298486328125,0.0001,-1.973071462661028
2,49152,442.0,-20.084866690000002,0,63553,13.28,24,-0.005030104104662314,2002.5970458984375,0.2,105,0.00986328125,0.10402899980545044,0.0022267927,4374.327526855469,0.0001,-1.9480393312871456
2,51200,522.0,-33.16557604,0,65995,11.5,25,-0.003464217291912064,3063.859375,0.2,110,0.00205078125,0.11208271980285645,0.0015031982,5200.320413208008,0.0001,-1.9433072939515115
2,53248,522.0,-43.99190337,0,68421,10.61,26,-0.002396167389815673,2897.7353515625,0.2,115,0.00400390625,0.08377885818481445,0.0008161556,5588.834823608398,0.0001,-1.926453745365143
2,55296,442.0,-38.03206238,0,70804,12.46,27,-0.004276485706213862,1402.6298828125,0.2,120,0.00556640625,0.151481032371521,0.0013188063,3426.0959060668947,0.0001,-1.9530943110585213
2,57344,522.0,-28.41527719,0,73148,14.87,28,-0.0022838461067294703,2887.691650390625,0.2,125,0.0,0.11005908250808716,0.0006058262,4685.505178833007,0.0001,-1.917875262349844
2,59392,538.0,-23.301395050000007,0,75610,14.15,29,-0.005751052917912602,1632.3992919921875,0.2,130,0.00458984375,0.1427379846572876,0.0016693019,3541.0255950927735,0.0001,-1.9464295901358128
2,61440,442.0,-31.74147214,0,78010,12.64,30,-0.004026790810166858,1440.6124267578125,0.2,135,0.003125,0.1447104811668396,0.0014256653,4642.862333679199,0.0001,-1.9590117886662484
2,63488,490.0,-1.8211531499999996,0,80507,12.35,31,-0.004012541282281745,3126.5361328125,0.2,140,0.00419921875,0.08001911640167236,0.0013020156,5076.263537597656,0.0001,-1.9300304524600507
2,65536,490.0,-11.818213970000002,0,82965,14.24,32,-0.0030517065402818843,2672.771728515625,0.2,145,0.00078125,0.10038113594055176,0.0015901654,6205.419573974609,0.0001,-1.9358790665864944
2,67584,626.0,-22.633331810000005,0,85348,14.35,33,-0.003548969581606798,2256.384033203125,0.2,150,0.000390625,0.15945792198181152,0.0009823772,5257.573751831054,0.0001,-1.929909536242485
2,69632,490.0,-14.611951689999998,0,87832,11.53,34,-0.003895956542692147,3335.93896484375,0.2,155,0.01103515625,0.09909260272979736,0.0013141605,6619.6421371459965,0.0001,-1.9615751437842845
2,71680,442.0,-30.806886610000003,0,90238,13.66,35,-0.0023897992010461166,1636.8153076171875,0.2,160,0.0015625,0.1212889552116394,0.00051354186,5914.562088012695,0.0001,-1.9342020206153392
2,73728,626.0,-16.48060277,0,92634,14.72,36,-0.0023051430864143184,1876.185546875,0.2,165,0.001171875,0.1588364839553833,0.0012251687,4411.852223205567,0.0001,-1.940258713811636
2,75776,538.0,-3.8906764199999997,0,95087,15.53,37,-0.0023786312172887846,2617.863037109375,0.2,170,0.00048828125,0.1500759720802307,0.0009410122,4893.080592346191,0.0001,-1.9316183365881443
2,77824,490.0,-23.537902640000002,0,97528,14.28,38,-0.003470482461852953,2548.68896484375,0.2,175,0.00625,0.14204400777816772,0.0010030051,4431.258187866211,0.0001,-1.9296291694045067
2,79872,490.0,-20.34143237,0,99966,15.0,39,-0.003989761024422478,1582.4248046875,0.2,180,0.00751953125,0.17786496877670288,0.0011392965,4212.69644317627,0.0001,-1.929691632837057
2,81920,442.0,-16.95458441,0,102409,14.45,40,-0.002308348650694825,1995.95458984375,0.2,185,0.00107421875,0.13895493745803833,0.00085999165,5314.620452880859,0.0001,-1.9438249804079533
2,83968,442.0,-12.045022149999998,0,104847,12.28,41,-0.0026783798064570876,1550.816162109375,0.2,190,0.00244140625,0.1813732385635376,0.00084484194,4338.779557800293,0.0001,-1.931638403981924
2,86016,522.0,-28.65541914,0,107377,12.86,42,-0.0018003289354965092,3459.671875,0.2,195,0.00146484375,0.06340605020523071,0.0007828871,7222.254737854004,0.0001,-1.9080257400870324
