custom/current_screen,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,custom/max_height,time/total_timesteps,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/loss,train/value_loss,train/clip_fraction,train/n_updates,train/approx_kl,train/learning_rate,train/clip_range
3,0,30.73,29275,-137.43611449,14,890.0,28672,-1.0609626770019531e-05,-1.5525137141346932,-0.010555280739208684,779.7929077148438,1871.2334449768066,0.0529296875,65,0.0074039996,0.0001,0.2
3,1,33.57,30491,-138.46207557999998,15,890.0,30720,-9.059906005859375e-06,-1.5508285902440548,-0.0094971512502525,556.6864013671875,1472.985562133789,0.08271484375,70,0.010481973,0.0001,0.2
3,1,38.1,31758,-142.60402413000003,16,786.0,32768,-1.1920928955078125e-07,-1.5886399075388908,-0.009395491174655036,637.1714477539062,1294.4720500946046,0.084375,75,0.010824715,0.0001,0.2
3,1,45.23,32992,-146.54957192,17,890.0,34816,-2.1457672119140625e-06,-1.6106091558933258,-0.009361544917919674,557.6177368164062,1394.6737873077393,0.1078125,80,0.008125827,0.0001,0.2
3,1,46.15,34355,-145.47074133,18,890.0,36864,-4.76837158203125e-06,-1.6326207366644168,-0.0015479859749914385,564.692626953125,1041.1890240837547,0.0739889705882353,84,0.021076702,0.0001,0.2
3,1,42.43,35621,-140.55120302999998,19,890.0,38912,1.0132789611816406e-06,-1.619440719485283,-0.011715261393692344,594.2879638671875,951.947732925415,0.08134765625,89,0.011131976,0.0001,0.2
3,1,43.65,36810,-141.99677402,20,890.0,40960,4.291534423828125e-06,-1.613060760498047,0.008480978198349476,386.2068176269531,1185.013720703125,0.0171875,90,0.010675475,0.0001,0.2
3,1,48.88,38148,-150.49585134000003,21,890.0,43008,7.748603820800781e-07,-1.6218838399770308,-0.0010431173992450952,568.3300170898438,1007.5194720832669,0.1292517006802721,95,0.018622082,0.0001,0.2
3,1,52.6,39654,-152.48145317,22,890.0,45056,3.5762786865234375e-06,-1.6239177042787725,-0.0016135220542888749,448.1336669921875,815.3329974087802,0.07350852272727272,97,0.013287107,0.0001,0.2
3,1,53.71,41043,-153.63377893999998,23,890.0,47104,2.2649765014648438e-06,-1.6357383393880092,-0.0070685615946510525,460.4013366699219,784.7003303296639,0.12902462121212122,102,0.021236926,0.0001,0.2
3,1,53.44,42498,-157.39383446999997,24,890.0,49152,5.9604644775390625e-06,-1.5960295005984928,0.0035767662440143204,398.4548645019531,845.0445125413978,0.1487771739130435,105,0.015149696,0.0001,0.2
3,1,55.67,43738,-158.65552885999998,25,890.0,51200,1.1682510375976562e-05,-1.6047160290181637,-0.005258240894181654,399.86383056640625,755.6585941314697,0.086328125,110,0.010692975,0.0001,0.2
3,1,59.32,45011,-162.44879239,26,1034.0,53248,0.0030618906021118164,-1.6113652992248535,0.014260465018451214,292.6409912109375,764.0732641601562,0.14375,111,0.009606918,0.0001,0.2
3,1,57.72,46487,-162.40109941999998,27,890.0,55296,0.002320408821105957,-1.5973115682601928,-0.0038085248476515212,763.722412109375,887.9739624023438,0.15416666666666667,113,0.015855698,0.0001,0.2
3,1,52.92,47817,-157.43334151999997,28,890.0,57344,0.005862534046173096,-1.6363498593719912,-0.0035642567877723296,304.33282470703125,901.6430423360475,0.11443661971830986,116,0.01837808,0.0001,0.2
3,1,56.13,49240,-160.44689886999998,29,890.0,59392,0.009045243263244629,-1.6522949302897734,0.0034532006008221824,397.9954833984375,671.8942314596737,0.02665441176470588,117,0.0055751177,0.0001,0.2
3,1,58.68,50729,-158.02303964,30,890.0,61440,0.013022005558013916,-1.6678728319704532,-0.0025639476720243693,334.76629638671875,649.3205600738526,0.11142578125,122,0.012645872,0.0001,0.2
